,Photo Date,Photo ID ,Photographed By,Date Plated,Plated By,"Date of Trial
 (Monday)",Set ID,strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),total consumption (24 hours mm),total consumption (48 hours mm),Total Consumption ,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes
1,2/20/18,175 5439,,10/6/17,,,,WE,11,132,,,B,10-3,6,3,9,,FW,KL,FW,,,,spore,vegetative,,,
3,2/20/18,175 5440,,10/6/17,,,,WE,11,132,,,B,10-4,0,1,1,,FW,KL,FW,,,,spore,vegetative,,,
5,2/20/18,175 5441,,10/6/17,,,,WE,11,132,,,B,10-5,0,0,0,,FW,KL,FW,,,,spore,vegetative,,,
7,2/20/18,175 5442,,10/6/17,,,,WA,11,143,,,B,10-3,0,4,4,,FW,KL,FW,,,,spore,vegetative,,,
9,2/20/18,175 5443,,10/6/17,,,,WA,11,143,,,B,10-4,2,0,2,,FW,KL,FW,,,,spore,vegetative,,,
11,2/20/18,175 5444,,10/6/17,,,,WA,11,143,,,B,10-5,0,0,0,,FW,KL,FW,,,,spore,vegetative,,,
13,2/20/18,175 5445,,10/6/17,,,,JS,11,152,,,B,10-3,104,0,104,,FW,KL,FW,,,,spore,vegetative,,,
15,2/20/18,175 5446,,10/6/17,,,,JS,11,152,,,B,10-4,5,0,5,,FW,KL,FW,,,,spore,vegetative,,,
17,2/20/18,175 5447,,10/6/17,,,,JS,11,152,,,B,10-5,4,0,4,,FW,KL,FW,,,,spore,vegetative,,,
19,2/20/18,175 5448,,10/6/17,,,,MY,11,171,,,B,10-3,69,1,70,,FW,KL,FW,,,,spore,vegetative,,,
21,2/20/18,175 5449,,10/6/17,,,,MY,11,171,,,B,10-4,0,14,14,,FW,KL,FW,,,,spore,vegetative,,,
23,2/20/18,175 5450,,10/6/17,,,,MY,11,171,,,B,10-5,0,0,0,,FW,KL,FW,,,,spore,vegetative,,,
25,2/20/18,175 5451,,10/6/17,,,,,11,176,,,B,10-3,0,30,30,,FW,KL,FW,,,,spore,vegetative,,,
27,2/20/18,175 5452,,10/6/17,,,,,11,176,,,B,10-4,0,7,7,,FW,KL,FW,,,,spore,vegetative,,,
29,2/20/18,175 5453,,10/6/17,,,,,11,176,,,B,10-5,0,0,0,,FW,KL,FW,,,,spore,vegetative,,,contaminated
31,11/28/17,171 5047,KL,10/23/17,,,,WE,11,1,,F,T,10-2,6,3,9,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
33,11/28/17,171 5048,KL,10/23/17,,,,WE,11,1,,F,T,10-3,13,108,121,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
35,11/28/17,171 5049,KL,10/23/17,,,,WE,11,1,,F,T,10-4,1,0,1,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
37,11/28/17,171 5050,KL,10/23/17,,,,WE,11,2,,F,T,10-2,6,5,11,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
39,11/28/17,171 5051,KL,10/23/17,,,,WE,11,2,,F,T,10-3,3,0,3,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
41,11/28/17,171 5052,KL,10/23/17,,,,WE,11,2,,F,T,10-4,0,0,0,,JC,FW,FW,,,0.0,spore,vegetative,,,contaminated
43,11/28/17,171 5055,KL,10/23/17,,,,WE,11,3,,F,T,10-2,0,61,61,,JC,FW,FW,,,0.0,spore,vegetative,,,
45,11/28/17,171 5057,KL,10/23/17,,,,WE,11,3,,F,T,10-3,0,4,4,,JC,FW,FW,,,0.0,spore,vegetative,,,
47,11/28/17,171 5058,KL,10/23/17,,,,WE,11,3,,F,T,10-4,0,1,1,,JC,FW,FW,,,0.0,spore,vegetative,,,
49,2/15/18,174 5207,,10/23/17,,,,WE,11,4,,F,T,10-2,2,22,24,,UR,CK,FW,,,0.0,spore,vegetative,,,contaminated
