,Photo Date,Photo ID ,Photographed By,Date Plated,Plated By,Date of Trial (Monday),Set ID,Strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (notebook),Recorded By (computer),"total consumption (mm, 24 hrs)","total consumption (mm, 48 hrs)",total consumption,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes
433,,no photo,,,,4/3/17,,WA,1,13,,,C,10-3,nc,nc,#VALUE!,analog,PJW,KMM,PJW,,,,vegetative,spore,,,see digital notebook
435,,no photo,,,,4/3/17,,WA,1,13,,,C,10-4,nc,nc,#VALUE!,analog,PJW,KMM,PJW,,,,vegetative,spore,,,see digital notebook
437,,no photo,,,,4/3/17,,WA,1,13,,,C,10-5,nc,nc,#VALUE!,analog,PJW,KMM,PJW,,,,vegetative,spore,,,see digital notebook
439,,no photo,,,,4/3/17,,WA,1,14,,,C,10-3,nc,nc,#VALUE!,analog,PJW,KMM,PJW,,,,vegetative,spore,,,see digital notebook
441,,no photo,,,,4/3/17,,WA,1,14,,,C,10-4,nc,nc,#VALUE!,analog,PJW,KMM,PJW,,,,vegetative,spore,,,see digital notebook
443,,no photo,,,,4/3/17,,WA,1,14,,,C,10-5,nc,nc,#VALUE!,analog,PJW,KMM,PJW,,,,vegetative,spore,,,see digital notebook
445,,no photo,,,,4/3/17,,WA,1,15,,,C,10-3,nc,nc,#VALUE!,analog,PJW,KMM,PJW,,,,vegetative,spore,,,see digital notebook
447,,no photo,,,,4/3/17,,WA,1,15,,,C,10-4,nc,nc,#VALUE!,analog,PJW,KMM,PJW,,,,vegetative,spore,,,see digital notebook
449,,no photo,,,,4/3/17,,WA,1,15,,,C,10-5,nc,nc,#VALUE!,analog,PJW,KMM,PJW,,,,vegetative,spore,,,see digital notebook
451,4/7/17,,,4/5/17,,4/3/17,,WA,1,1,,,B,10-3,55,136,191,analog,,,,,,,vegetative,spore,,,
453,4/7/17,,,4/5/17,,4/3/17,,WA,1,1,,,B,10-4,11,40,51,analog,,,,,,,vegetative,spore,,,
455,4/7/17,,,4/5/17,,4/3/17,,WA,1,1,,,B,10-5,3,10,13,analog,,,,,,,vegetative,spore,,,
457,4/7/17,111 0606,,4/5/17,,4/3/17,,WA,1,1:1,,,B,10-3,55,136,191,analog,,,,,,,vegetative,spore,,,
459,4/7/17,111 0611,,4/5/17,,4/3/17,,WA,1,1:1,,,B,10-4,11,40,51,analog,,,,,,,vegetative,spore,,,
461,4/7/17,111 0612,,4/5/17,,4/3/17,,WA,1,1:1,,,B,10-5,3,10,13,analog,,,,,,,vegetative,spore,,,
463,,,,,,4/3/17,,WA,1,16,,F,T,10-4,nan,nan,0,,,,,,,,,,,,
465,,,,,,4/3/17,,WA,1,17,,F,T,10-4,nan,nan,0,,,,,,,,,,,,
467,,,,,,4/3/17,,WA,1,18,,F,T,10-4,nan,nan,0,,,,,,,,,,,,
469,,,,,,4/3/17,,WA,1,19,,F,T,10-4,nan,nan,0,,,,,,,,,,,,
471,,,,,,4/3/17,,WA,1,20,,F,T,10-4,nan,nan,0,,,,,,,,,,,,
473,,,,,,4/3/17,,WA,1,21,,F,T,10-4,nan,nan,0,,,,,,,,,,,,
475,,,,,,4/3/17,,WA,1,22,,F,T,10-4,nan,nan,0,,,,,,,,,,,,
477,,,,,,4/3/17,,WA,1,23,,F,T,10-4,nan,nan,0,,,,,,,,,,,,
479,,,,,,4/3/17,,WA,1,24,,F,T,10-4,nan,nan,0,,,,,,,,,,,,
481,,,,,,4/3/17,,WA,1,25,,F,T,10-4,nan,nan,0,,,,,,,,,,,,
483,,,,,,4/3/17,,WA,1,26,,F,T,10-4,nan,nan,0,,,,,,,,,,,,
485,,,,,,4/3/17,,WA,1,27,,F,T,10-4,nan,nan,0,,,,,,,,,,,,
487,,,,,,4/3/17,,WA,1,28,,F,T,10-4,nan,nan,0,,,,,,,,,,,,
489,,,,,,4/3/17,,WA,1,29,,F,T,10-4,nan,nan,0,,,,,,,,,,,,
491,,,,,,4/3/17,,WA,1,30,,F,T,10-4,nan,nan,0,,,,,,,,,,,,
493,5/31/18,181 5736,,,,4/3/17,,WA,1,1,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
495,5/31/18,181 5739,,,,4/3/17,,WA,1,2,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
497,5/31/18,181 5742,,,,4/3/17,,WA,1,3,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
499,5/31/18,181 5690,,,,4/3/17,,WA,1,4,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
501,5/31/18,181 5693,,,,4/3/17,,WA,1,5,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
503,5/31/18,181 5696,,,,4/3/17,,WA,1,6,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
505,5/29/18,180 5654,,,,4/3/17,,WA,1,7,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
507,5/29/18,180 5657,,,,4/3/17,,WA,1,8,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
509,5/29/18,180 5660,,,,4/3/17,,WA,1,9,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
511,5/29/18,180 5618,,,,4/3/17,,WA,1,10,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
513,5/29/18,180 5621,,,,4/3/17,,WA,1,11,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
515,5/29/18,180 5624,,,,4/3/17,,WA,1,12,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
517,5/26/18,179 5582,,,,4/3/17,,WA,1,13,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
519,5/26/18,179 5585,,,,4/3/17,,WA,1,14,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
521,5/26/18,179 5588,,,,4/3/17,,WA,1,15,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
523,5/31/18,181 5722,,,,4/3/17,,WA,1,16,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
525,5/31/18,181 5725,,,,4/3/17,,WA,1,17,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
527,5/31/18,181 5719,,,,4/3/17,,WA,1,18,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
529,5/29/18,180 5681,,,ST,4/3/17,,WA,1,19,,F,GOT,10-3,33,158,191,,TY,AZD,KL,,,,,,,,CONTAMINATED 
531,5/29/18,180 5684,,,ST,4/3/17,,WA,1,20,,F,GOT,10-3,0,9,9,,TY,AZD ,KL ,,,,,,,,
533,5/29/18,180 5687,,,ST,4/3/17,,WA,1,21,,F,GOT,10-3,0,11,11,,TY,AZD ,KL ,,,,,,,,
535,5/29/18,180 5645,,,,4/3/17,,WA,1,22,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
537,5/29/18,180 5648,,,,4/3/17,,WA,1,23,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
539,5/29/18,180 5651,,,,4/3/17,,WA,1,24,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
541,5/29/18,180 5609,,,,4/3/17,,WA,1,25,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
543,5/29/18,180 5612,,,,4/3/17,,WA,1,26,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
545,5/29/18,180 5615,,,,4/3/17,,WA,1,27,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
547,5/26/18,179 5577,,,,4/3/17,,WA,1,28,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
549,5/26/18,179 5580,,,,4/3/17,,WA,1,29,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
551,5/26/18,179 5575,,,,4/3/17,,WA,1,30,,F,GOT,10-3,nan,nan,0,,,,,,,,,,,,
553,5/31/18,181 5737,,,,4/3/17,,WA,1,1,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
555,5/31/18,181 5740,,,,4/3/17,,WA,1,2,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
557,5/31/18,181 5743,,,,4/3/17,,WA,1,3,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
559,5/31/18,181 5691,,,,4/3/17,,WA,1,4,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
561,5/31/18,181 5694,,,,4/3/17,,WA,1,5,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
563,5/31/18,181 5697,,,,4/3/17,,WA,1,6,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
565,5/29/18,180 5655,,,,4/3/17,,WA,1,7,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
567,5/29/18,180 5658,,,,4/3/17,,WA,1,8,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
569,5/29/18,180 5661,,,,4/3/17,,WA,1,9,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
571,5/29/18,180 5619,,,,4/3/17,,WA,1,10,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
573,5/29/18,180 5622,,,,4/3/17,,WA,1,11,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
575,5/29/18,180 5625,,,,4/3/17,,WA,1,12,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
577,5/26/18,179 5583,,,,4/3/17,,WA,1,13,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
579,5/26/18,179 5586,,,,4/3/17,,WA,1,14,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
581,5/26/18,179 5589,,,,4/3/17,,WA,1,15,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
583,5/31/18,181 5723,,,,4/3/17,,WA,1,16,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
585,5/31/18,181 5726,,,,4/3/17,,WA,1,17,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
587,5/31/18,181 5720,,,,4/3/17,,WA,1,18,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
589,5/29/18,180 5682,,,ST,4/3/17,,WA,1,19,,F,GOT,10-4,0,21,21,,TY,AZD,KL,,,,,,,,CONTAMINATED
591,5/29/18,180 5685,,,ST,4/3/17,,WA,1,20,,F,GOT,10-4,11,144,155,,TY,AZD ,KL ,,,,,,,,
593,5/29/18,180 5688,,,ST,4/3/17,,WA,1,21,,F,GOT,10-4,0,185,185,,TY,AZD ,KL ,,,,,,,,
595,5/29/18,180 5646,,,,4/3/17,,WA,1,22,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
597,5/29/18,180 5649,,,,4/3/17,,WA,1,23,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
599,5/29/18,180 5652,,,,4/3/17,,WA,1,24,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
601,5/29/18,180 5610,,,,4/3/17,,WA,1,25,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
603,5/29/18,180 5613,,,,4/3/17,,WA,1,26,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
605,5/29/18,180 5616,,,,4/3/17,,WA,1,27,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
607,5/26/18,179 5579,,,,4/3/17,,WA,1,28,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
609,5/26/18,179 5581,,,,4/3/17,,WA,1,29,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
611,5/26/18,181 5574,,,,4/3/17,,WA,1,30,,F,GOT,10-4,nan,nan,0,,,,,,,,,,,,
613,5/31/18,181 5738,,,,4/3/17,,WA,1,1,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
615,5/31/18,181 5741,,,,4/3/17,,WA,1,2,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
617,5/31/18,181 5744,,,,4/3/17,,WA,1,3,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
619,5/31/18,181 5692,,,,4/3/17,,WA,1,4,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
621,5/31/18,181 5695,,,,4/3/17,,WA,1,5,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
623,5/31/18,181 5698,,,,4/3/17,,WA,1,6,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
625,5/29/18,180 5656,,,,4/3/17,,WA,1,7,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
627,5/29/18,180 5659,,,,4/3/17,,WA,1,8,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
629,5/29/18,180 5662,,,,4/3/17,,WA,1,9,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
631,5/29/18,180 5620,,,,4/3/17,,WA,1,10,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
633,5/29/18,180 5623,,,,4/3/17,,WA,1,11,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
635,5/29/18,180 5626,,,,4/3/17,,WA,1,12,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
637,5/26/18,179 5584,,,,4/3/17,,WA,1,13,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
639,5/26/18,179 5587,,,,4/3/17,,WA,1,14,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
641,5/26/18,179 5590,,,,4/3/17,,WA,1,15,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
643,5/31/18,181 5724,,,,4/3/17,,WA,1,16,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
645,5/31/18,181 5718,,,,4/3/17,,WA,1,17,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
647,5/31/18,181 5721,,,,4/3/17,,WA,1,18,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
649,5/29/18,180 5683,,,ST,4/3/17,,WA,1,19,,F,GOT,10-5,0,12,12,,TY ,AZD,KL ,,,,,,,,CONTAMINATED 
651,5/29/18,180 5686,,,ST,4/3/17,,WA,1,20,,F,GOT,10-5,0,25,25,,TY,AZD ,KL ,,,,,,,,
653,5/29/18,180 5689,,,ST,4/3/17,,WA,1,21,,F,GOT,10-5,0,48,48,,TY,AZD ,KL ,,,,,,,,
655,5/29/18,180 5647,,,,4/3/17,,WA,1,22,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
657,5/29/18,180 5650,,,,4/3/17,,WA,1,23,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
659,5/29/18,180 5653,,,,4/3/17,,WA,1,24,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
661,5/29/18,180 5611,,,,4/3/17,,WA,1,25,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
663,5/29/18,180 5614,,,,4/3/17,,WA,1,26,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
665,5/29/18,180 5617,,,,4/3/17,,WA,1,27,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
667,5/26/18,179 5578,,,,4/3/17,,WA,1,28,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
669,5/26/18,179 5572,,,,4/3/17,,WA,1,29,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
671,5/26/18,179 5573,,,,4/3/17,,WA,1,30,,F,GOT,10-5,nan,nan,0,,,,,,,,,,,,
673,5/31/18,181 5745,,,,4/3/17,,WA,1,1,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
675,5/31/18,181 5748,,,,4/3/17,,WA,1,2,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
677,5/31/18,181 5751,,,,4/3/17,,WA,1,3,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
679,5/31/18,181 5709,,,,4/3/17,,WA,1,4,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
681,5/31/18,181 5712,,,,4/3/17,,WA,1,5,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
683,5/31/18,181 5715,,,,4/3/17,,WA,1,6,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
685,5/29/18,180 5672,,,,4/3/17,,WA,1,7,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
687,5/29/18,180 5675,,,,4/3/17,,WA,1,8,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
689,5/29/18,180 5678,,,,4/3/17,,WA,1,9,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
691,5/29/18,180 5636,,,,4/3/17,,WA,1,10,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
693,5/29/18,180 5639,,,,4/3/17,,WA,1,11,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
695,5/29/18,180 5642,,,,4/3/17,,WA,1,12,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
697,5/26/18,179 5599,,,,4/3/17,,WA,1,13,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
699,5/26/18,179 5593,,,,4/3/17,,WA,1,14,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
701,5/26/18,179 5596,,,,4/3/17,,WA,1,15,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
703,5/31/18,181 5727,,,,4/3/17,,WA,1,16,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
705,5/31/18,181 5730,,,,4/3/17,,WA,1,17,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
707,5/31/18,181 5733,,,,4/3/17,,WA,1,18,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
709,5/31/18,181 5700,,,,4/3/17,,WA,1,19,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
711,5/13/18,181 5703,,,,4/3/17,,WA,1,20,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,CONTAMINATED 
713,5/13/18,181 5706,,,,4/3/17,,WA,1,21,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,CONTAMINATED 
715,5/29/18,180 5663,,,,4/3/17,,WA,1,22,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
717,5/29/18,180 5666,,,,4/3/17,,WA,1,23,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
719,5/29/18,180 5669,,,,4/3/17,,WA,1,24,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
721,5/29/18,180 5627,,,,4/3/17,,WA,1,25,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
723,5/29/18,180 5630,,,,4/3/17,,WA,1,26,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
725,5/29/18,180 5633,,,,4/3/17,,WA,1,27,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
727,5/26/18,179 5600,,,,4/3/17,,WA,1,28,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
729,5/26/18,179 5603,,,,4/3/17,,WA,1,29,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
731,5/26/18,179 5606,,,,4/3/17,,WA,1,30,,M,GOT,10-3,nan,nan,0,,,,,,,,,,,,
733,5/31/18,181 5746,,,,4/3/17,,WA,1,1,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
735,5/31/18,181 5749,,,,4/3/17,,WA,1,2,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
737,5/31/18,181 5752,,,,4/3/17,,WA,1,3,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
739,5/31/18,181 5710,,,,4/3/17,,WA,1,4,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
741,5/31/18,181 5713,,,,4/3/17,,WA,1,5,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
743,5/31/18,181 5716,,,,4/3/17,,WA,1,6,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
745,5/29/18,180 5673,,,,4/3/17,,WA,1,7,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
747,5/29/18,180 5676,,,,4/3/17,,WA,1,8,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
749,5/29/18,180 5679,,,,4/3/17,,WA,1,9,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
751,5/29/18,180 5637,,,,4/3/17,,WA,1,10,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
753,5/29/18,180 5640,,,,4/3/17,,WA,1,11,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
755,5/29/18,180 5643,,,,4/3/17,,WA,1,12,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
757,5/26/18,179 5591,,,,4/3/17,,WA,1,13,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
759,5/26/18,179 5594,,,,4/3/17,,WA,1,14,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
761,5/26/18,179 5597,,,,4/3/17,,WA,1,15,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
763,5/31/18,181 5728,,,,4/3/17,,WA,1,16,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
765,5/31/18,181 5731,,,,4/3/17,,WA,1,17,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
767,5/31/18,181 5734,,,,4/3/17,,WA,1,18,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
769,5/31/18,181 5701,,,,4/3/17,,WA,1,19,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
771,5/13/18,181 5704,,,,4/3/17,,WA,1,20,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,CONTAMINATED 
773,5/13/18,181 5707,,,,4/3/17,,WA,1,21,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
775,5/29/18,180 5664,,,,4/3/17,,WA,1,22,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
777,5/29/18,180 5667,,,,4/3/17,,WA,1,23,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
779,5/29/18,180 5670,,,,4/3/17,,WA,1,24,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
781,5/29/18,180 5628,,,,4/3/17,,WA,1,25,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
783,5/29/18,180 5631,,,,4/3/17,,WA,1,26,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
785,5/29/18,180 5634,,,,4/3/17,,WA,1,27,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
787,5/26/18,179 5601,,,,4/3/17,,WA,1,28,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
789,5/26/18,179 5604,,,,4/3/17,,WA,1,29,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
791,5/26/18,179 5607,,,,4/3/17,,WA,1,30,,M,GOT,10-4,nan,nan,0,,,,,,,,,,,,
793,5/31/18,181 5747,,,,4/3/17,,WA,1,1,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
795,5/31/18,181 5750,,,,4/3/17,,WA,1,2,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
797,5/31/18,181 5753,,,,4/3/17,,WA,1,3,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
799,5/31/18,181 5711,,,,4/3/17,,WA,1,4,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
801,5/31/18,181 5714,,,,4/3/17,,WA,1,5,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
803,5/31/18,181 5717,,,,4/3/17,,WA,1,6,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
805,5/29/18,180 5674,,,,4/3/17,,WA,1,7,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
807,5/29/18,180 5677,,,,4/3/17,,WA,1,8,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
809,5/29/18,180 5680,,,,4/3/17,,WA,1,9,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
811,5/29/18,180 5638,,,,4/3/17,,WA,1,10,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
813,5/29/18,180 5641,,,,4/3/17,,WA,1,11,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
815,5/29/18,180 5644,,,,4/3/17,,WA,1,12,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
817,5/26/18,179 5592,,,,4/3/17,,WA,1,13,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
819,5/26/18,179 5595,,,,4/3/17,,WA,1,14,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
821,5/26/18,179 5598,,,,4/3/17,,WA,1,15,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
823,5/31/18,181 5729,,,,4/3/17,,WA,1,16,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
825,5/31/18,181 5732,,,,4/3/17,,WA,1,17,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
827,5/31/18,181 5735,,,,4/3/17,,WA,1,18,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
829,5/31/18,181 5702,,,,4/3/17,,WA,1,19,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
831,5/13/18,181 5705,,,,4/3/17,,WA,1,20,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,CONTAMINATED 
833,5/13/18,181 5708,,,,4/3/17,,WA,1,21,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
835,5/29/18,180 5664,,,,4/3/17,,WA,1,22,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
837,5/29/18,180 5668,,,,4/3/17,,WA,1,23,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
839,5/29/18,180 5671,,,,4/3/17,,WA,1,24,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
841,5/29/18,180 5629,,,,4/3/17,,WA,1,25,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
843,5/29/18,180 5632,,,,4/3/17,,WA,1,26,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
845,5/29/18,180 5635,,,,4/3/17,,WA,1,27,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
847,5/26/18,179 5602,,,,4/3/17,,WA,1,28,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
849,5/26/18,179 5605,,,,4/3/17,,WA,1,29,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
851,5/26/18,179 5608,,,,4/3/17,,WA,1,30,,M,GOT,10-5,nan,nan,0,,,,,,,,,,,,
