,Photo Date,Photo ID ,Photographed By,Date Plated,Plated By,"Date of Trial
 (Monday)",Set ID,strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),total consumption (24 hours mm),total consumption (48 hours mm),Total Consumption ,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes
1,8/22/17,155 4123,FW,5/15/17,HB,5/15/17,,WE,7,1:1,,,B,10-3,234,294,528,analog,,CK,KV,,,,spore,vegetative,,,
3,8/22/17,155 4124,FW,5/15/17,HB,5/15/17,,WE,7,1:1,,,B,10-4,14,25,39,analog,,CK,KV,,,,spore,vegetative,,,
5,8/22/17,155 4125,FW,5/15/17,HB,5/15/17,,WE,7,1:1,,,B,10-5,2,3,5,analog,,CK,KV,,,,spore,vegetative,,,
7,10/3/17,158 4249,,5/17/17,MA,5/15/17,,WE,7,1,,,C,10-3,468,718,1186,analog,,,KV,,,,spore,vegetative,,,
9,10/13/17,158 4250,,5/17/17,MA,5/15/17,,WE,7,1,,,C,10-4,56,114,170,analog,,,KV,,,,spore,vegetative,,,
11,10/13/17,158 4251,,5/17/17,MA,5/15/17,,WE,7,1,,,C,10-5,5,9,14,analog,,,KV,,,,spore,vegetative,,,
13,10/13/17,158 4252,,5/17/17,MA,5/15/17,,WE,7,2,,,C,10-3,474,794,1268,analog,,,KV,,,,spore,vegetative,,,
15,10/13/17,158 4253,,5/17/17,MA,5/15/17,,WE,7,2,,,C,10-4,49,140,189,analog,,,KV,,,,spore,vegetative,,,
17,10/13/17,158 4254,,5/17/17,MA,5/15/17,,WE,7,2,,,C,10-5,8,24,32,analog,,,KV,,,,spore,vegetative,,,
19,10/13/17,158 4256,,5/17/17,MA,5/15/17,,WE,7,3,,,C,10-3,279,628,907,analog,,,KV,,,,spore,vegetative,,,
