,Photo Date ,Photo ID ,Photographed By,Date Plated,Plated By,"Date of Trial
",Set ID,Strain,Plate ID,strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),"total consumption (mm, 24 hrs)","total consumption (mm, 48 hrs)",Total Consumption,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes
633,4/21/17,114 0921,,4/12/17,,4/12/17,,WA,,,2,2,,,C,10-4,84,0,84,analog,"MA, UR ",KMM,KL,,,,spore,vegetative,,,
635,4/21/17,114 0922,,4/12/17,,4/12/17,,WA,,,2,3,,,C,10-4,214,5,219,analog,"MA, UR ",KMM,KL,,,,spore,vegetative,,,
637,4/21/17,114 0923,,4/12/17,,4/12/17,,WA,,,2,4,,,C,10-4,254,0,254,analog,"MA, UR ",KMM,KL,,,,spore,vegetative,,,
639,4/21/17,114 0924,,4/12/17,,4/12/17,,WA,,,2,5,,,C,10-4,69,1,70,analog,"MA, UR ",KMM,KL,,,,spore,vegetative,,,
641,4/21/17,114 0925,,4/12/17,,4/12/17,,WA,,,2,6,,,C,10-4,173,5,178,analog,"MA, UR ",KMM,KL,,,,spore,vegetative,,,
643,4/21/17,114 0908,,4/12/17,,4/12/17,,WA,,,2,7,,,C,10-4,381,6,387,analog,"MA, UR ",KMM,KL,,,,spore,vegetative,,,
645,4/21/17,114 0909,,4/12/17,,4/12/17,,WA,,,2,8,,,C,10-4,306,8,314,analog,"MA, UR ",KMM,KL,,,,spore,vegetative,,,
647,4/21/17,114 0910,,4/12/17,,4/12/17,,WA,,,2,9,,,C,10-4,184,6,190,analog,"MA, UR ",KMM,KL,,,,spore,vegetative,,,
649,4/21/17,114 0911,,4/12/17,,4/12/17,,WA,,,2,10,,,C,10-4,247,7,254,analog,"MA, UR ",KMM,KL,,,,spore,vegetative,,,
651,4/21/17,114 0912,,4/12/17,,4/12/17,,WA,,,2,11,,,C,10-4,330,6,336,analog,"MA, UR ",KMM,KL,,,,spore,vegetative,,,
653,4/21/17,114 0913,,4/12/17,,4/12/17,,WA,,,2,12,,,C,10-4,491,8,499,analog,"MA, UR ",KMM,KL,,,,spore,vegetative,,,
655,4/21/17,114 0914,,4/12/17,,4/12/17,,WA,,,2,13,,,C,10-4,138,8,146,analog,"MA, UR ",KMM,KL,,,,spore,vegetative,,,
657,4/21/17, 114 0915,,4/12/17,,4/12/17,,WA,,,2,14,,,C,10-4,103,0,103,analog,"MA, UR ",KMM,KL,,,,spore,vegetative,,,
659,4/21/17,114 0916,,4/12/17,,4/12/17,,WA,,,2,15,,,C,10-4,230,29,259,analog,"MA, UR ",KMM,KL,,,,spore,vegetative,,,
661,5/25/17,130 2369,,4/12/17,HMP,4/12/17,,WA,,,2,1,,F,T,10-4,0,0,0,analog,"""?""",KMM,KL,11,17,28,spore,vegetative,,CONTAMINATED,
663,5/25/17,130 2370,,4/12/17,HMP,4/12/17,,WA,,,2,2,,F,T,10-4,0,0,0,analog,"""?""",KMM,KL,-,-,#VALUE!,spore,vegetative,,CONTAMINATED,
665,5/25/17,130 2371,,4/12/17,HMP,4/12/17,,WA,,,2,3,,F,T,10-4,0,0,0,analog,"""?""",KMM,KL,2,3,5,spore,vegetative,,CONTAMINATED,
667,5/25/17,130 2372 ,,4/12/17,HMP,4/12/17,,WA,,,2,4,,F,T,10-4,0,7,7,analog,"""?""",KMM,KL,13,24,37,spore,vegetative,,CONTAMINATED,
669,5/25/17,130 2373,,4/12/17,HMP,4/12/17,,WA,,,2,5,,F,T,10-4,0,0,0,analog,"""?""",KMM,KL,6,17,23,spore,vegetative,,CONTAMINATED,
671,5/25/17,130 2374,,4/12/17,HMP,4/12/17,,WA,,,2,6,,F,T,10-4,0,0,0,analog,"""?""",KMM,KL,3,5,8,spore,vegetative,,CONTAMINATED,
673,5/25/17,130 2375,,4/12/17,HMP,4/12/17,,WA,,,2,7,,F,T,10-4,1,0,1,analog,"""?""",KMM,KL,12,22,34,spore,vegetative,,CONTAMINATED,
675,5/25/17,130 2376,,4/12/17,HMP,4/12/17,,WA,,,2,8,,F,T,10-4,0,0,0,analog,"""?""",KMM,KL,1,13,14,spore,vegetative,,CONTAMINATED,
677,5/25/17,130 2377,,4/12/17,HMP,4/12/17,,WA,,,2,9,,F,T,10-4,1,0,1,analog,"""?""",KMM,KL,2,6,8,spore,vegetative,,CONTAMINATED,
679,5/19/17,126 2014,,4/12/17,HMP,4/12/17,,WA,,,2,10,,F,T,10-4,0,0,0,analog,KN,HB,KL,14,17,31,spore,vegetative,,,
681,5/19/17,126 2015,,4/12/17,HMP,4/12/17,,WA,,,2,11,,F,T,10-4,0,0,0,analog,KN,HB,KL,80,81,161,spore,vegetative,,,
683,5/19/17,126 2016,,4/12/17,HMP,4/12/17,,WA,,,2,12,,F,T,10-4,2,0,2,analog,KN,HB,KL,30,38,68,spore,vegetative,,,
685,5/19/17,126 2017,,4/12/17,HMP,4/12/17,,WA,,,2,13,,F,T,10-4,4,0,4,analog,KN,HB,KL,22,38,60,spore,vegetative,,,
687,5/19/17,126 2018,,4/12/17,HMP,4/12/17,,WA,,,2,14,,F,T,10-4,0,0,0,analog,KN,HB,KL,17,26,43,spore,vegetative,,,
689,5/19/17,126 2019,,4/12/17,HMP,4/12/17,,WA,,,2,15,,F,T,10-4,0,0,0,analog,KN,HB,KL,12,21,33,spore,vegetative,,,
691,5/19/17,126 2020,,4/12/17,HMP,4/12/17,,WA,,,2,16,,F,T,10-4,0,0,0,analog,KN,HB,KL,19,32,51,spore,vegetative,,,
693,5/19/17,126 2021,,4/12/17,HMP,4/12/17,,WA,,,2,17,,F,T,10-4,0,0,0,analog,KN,HB,KL,9,17,26,spore,vegetative,,,
695,5/19/17,126 2022,,4/12/17,HMP,4/12/17,,WA,,,2,18,,F,T,10-4,3,0,3,analog,KN,HB,KL,48,68,116,spore,vegetative,,,
697,4/26/17,116 1249,,4/12/17,,4/12/17,,WA,,,2,19,,F,T,10-4,0,0,0,analog,,,,17,44,61,spore,vegetative,,,
699,4/26/17,116 1250,,4/12/17,,4/12/17,,WA,,,2,20,,F,T,10-4,0,0,0,analog,,,,18,43,61,spore,vegetative,,,
701,4/26/17,116 1251,,4/12/17,,4/12/17,,WA,,,2,21,,F,T,10-4,1,0,1,analog,,,,24,38,62,spore,vegetative,,,
703,4/26/17,116 1252,,4/12/17,,4/12/17,,WA,,,2,22,,F,T,10-4,0,0,0,analog,,,,24,54,78,spore,vegetative,,,
705,4/26/17,116 1253,,4/12/17,,4/12/17,,WA,,,2,23,,F,T,10-4,0,0,0,analog,,,,2,9,11,spore,vegetative,,,
707,4/26/17,116 1254,,4/12/17,,4/12/17,,WA,,,2,24,,F,T,10-4,0,0,0,analog,,,,11,17,28,spore,vegetative,,,
709,4/26/17,116 1256,,4/12/17,,4/12/17,,WA,,,2,25,,F,T,10-4,0,0,0,analog,,,,21,38,59,spore,vegetative,,,
711,4/26/17,116 1257,,4/12/17,,4/12/17,,WA,,,2,26,,F,T,10-4,0,0,0,analog,,,,23,32,55,spore,vegetative,,,contaminated
713,4/26/17,116 1258,,4/12/17,,4/12/17,,WA,,,2,27,,F,T,10-4,0,23,23,analog,,,,9,23,32,spore,vegetative,,,
715,4/26/17,116 1245,,4/12/17,,4/12/17,,WA,,,2,28,,F,T,10-4,0,2,2,analog,BC,KMM,KL,6,10,16,spore,vegetative,,,
717,4/26/17,116 1246,,4/12/17,,4/12/17,,WA,,,2,29,,F,T,10-4,NC,NC,#VALUE!,analog,BC,KMM,KL,1,1,2,spore,vegetative,,,
719,4/26/17,116 1247,,4/12/17,,4/12/17,,WA,,,2,30,,F,T,10-4,NC,NC,#VALUE!,analog,BC,KMM,KL,8,7,15,spore,vegetative,,,
721,,,,4/12/17,,4/12/17,,WA,,,2,1,,M,T,10-4,4,6,10,analog,,KMM,,22,37,59,spore,vegetative,,,
723,,,,4/12/17,,4/12/17,,WA,,,2,2,,M,T,10-4,1,0,1,analog,,KMM,,3,8,11,spore,vegetative,,,
725,,,,4/12/17,,4/12/17,,WA,,,2,3,,M,T,10-4,0,0,0,analog,,KMM,,19,30,49,spore,vegetative,,,
727,,,,4/12/17,,4/12/17,,WA,,,2,4,,M,T,10-4,0,0,0,analog,,KMM,,18,39,57,spore,vegetative,,,contaminated
729,,,,4/12/17,,4/12/17,,WA,,,2,5,,M,T,10-4,0,0,0,analog,,KMM,,10,15,25,spore,vegetative,,,
731,,,,4/12/17,,4/12/17,,WA,,,2,6,,M,T,10-4,0,0,0,analog,,KMM,,14,23,37,spore,vegetative,,,
733,,,,4/12/17,,4/12/17,,WA,,,2,7,,M,T,10-4,0,0,0,analog,,KMM,,14,27,41,spore,vegetative,,,
735,,,,4/12/17,,4/12/17,,WA,,,2,8,,M,T,10-4,0,0,0,analog,,KMM,,4,13,17,spore,vegetative,,,
737,,,,4/12/17,,4/12/17,,WA,,,2,9,,M,T,10-4,0,0,0,analog,,KMM,,20,31,51,spore,vegetative,,,
739,5/19/17,127 2035,,4/12/17,HB,4/12/17,,WA,,,2,10,,M,T,10-4,0,0,0,analog,KN,HB,,10,25,35,spore,vegetative,,,
741,5/19/17,127 2036,,4/12/17,HB,4/12/17,,WA,,,2,11,,M,T,10-4,0,0,0,analog,KN,HB,,11,32,43,spore,vegetative,,,
743,5/19/17,127 2037,,4/12/17,HB,4/12/17,,WA,,,2,12,,M,T,10-4,0,0,0,analog,KN,HB,,13,25,38,spore,vegetative,,,
745,5/19/17,127 2038,,4/12/17,HB,4/12/17,,WA,,,2,13,,M,T,10-4,0,0,0,analog,KN,HB,,14,25,39,spore,vegetative,,,
747,5/19/17,127 2039,,4/12/17,HB,4/12/17,,WA,,,2,14,,M,T,10-4,1,0,1,analog,,HB,,15,26,41,spore,vegetative,,,contaminated
749,5/19/17,127 2040,,4/12/17,HB,4/12/17,,WA,,,2,15,,M,T,10-4,0,0,0,analog,KN,HB,,13,22,35,spore,vegetative,,,
751,5/5/17,120 1488,,4/12/17,KMM,4/12/17,,WA,,,2,16,,M,T,10-4,0,0,0,analog,,KMM,,12,24,36,spore,vegetative,,,
753,5/5/17,120 1489,,4/12/17,KMM,4/12/17,,WA,,,2,17,,M,T,10-4,0,0,0,analog,,KMM,,13,23,36,spore,vegetative,,,contaminated
755,5/5/17,120 1490,,4/12/17,KMM,4/12/17,,WA,,,2,18,,M,T,10-4,1,0,1,analog,,KMM,,14,35,49,spore,vegetative,,,
757,5/5/17,120 1493,,4/12/17,KMM,4/12/17,,WA,,,2,19,,M,T,10-4,0,0,0,analog,,KMM,,11,21,32,spore,vegetative,,,
759,5/5/17,120 1494,,4/12/17,KMM,4/12/17,,WA,,,2,20,,M,T,10-4,1,0,1,analog,,KMM,,11,21,32,spore,vegetative,,,
761,5/5/17,120 1495,,4/12/17,KMM,4/12/17,,WA,,,2,21,,M,T,10-4,0,0,0,analog,,KMM,,10,19,29,spore,vegetative,,,contaminated
763,5/5/17,120 1496,,4/12/17,KMM,4/12/17,,WA,,,2,22,,M,T,10-4,1,1,2,analog,,KMM,,16,30,46,spore,vegetative,,,
765,,,,4/12/17,,4/12/17,,WA,,,2,23,,M,T,10-4,1,0,1,analog,,KMM,,6,28,34,spore,vegetative,,,
767,5/5/17,120 1499,,4/12/17,KMM,4/12/17,,WA,,,2,24,,M,T,10-4,0,0,0,analog,,KMM,,20,27,47,spore,vegetative,,,
769,5/19/17,126 1999,,4/12/17,KMM,4/12/17,,WA,,,2,25,,M,T,10-4,0,0,0,analog,HB,HB,,11,24,35,spore,vegetative,,,
771,5/19/17,126 2000,,4/12/17,KMM,4/12/17,,WA,,,2,26,,M,T,10-4,1,4,5,analog,HB,HB,,15,31,46,spore,vegetative,,,contaminated 
773,5/19/17,126 2001,,4/12/17,KMM,4/12/17,,WA,,,2,27,,M,T,10-4,0,0,0,analog,HB,HB,,20,25,45,spore,vegetative,,,
775,5/19/17,126 2002,,4/12/17,KMM,4/12/17,,WA,,,2,28,,M,T,10-4,0,0,0,analog,HB,HB,,17,31,48,spore,vegetative,,,
777,5/19/17,126 2003,,4/12/17,KMM,4/12/17,,WA,,,2,29,,M,T,10-4,0,0,0,analog,HB,HB,,12,19,31,spore,vegetative,,,
779,5/19/17,126 2004,,4/12/17,KMM,4/12/17,,WA,,,2,30,,M,T,10-4,0,0,0,analog,HB,HB,,12,18,30,spore,vegetative,,,
781,4/21/17,114 0930,,4/12/17,,4/12/17,,WA,,,2,1,,,C,10-5,2,0,2,analog,MW,KMM,KL,,,,spore,vegetative,,,
783,4/21/17,114 0931,,4/12/17,,4/12/17,,WA,,,2,2,,,C,10-5,5,0,5,analog,MW,KMM,KL,,,,spore,vegetative,,,
785,4/21/17,114 0935,,4/12/17,,4/12/17,,WA,,,2,3,,,C,10-5,25,0,25,analog,MW,KMM,KL,,,,spore,vegetative,,,
787,4/21/17,114 0936,,4/12/17,,4/12/17,,WA,,,2,4,,,C,10-5,40,0,40,analog,MW,KMM,KL,,,,spore,vegetative,,,
789,4/21/17,114 0937,,4/12/17,,4/12/17,,WA,,,2,5,,,C,10-5,13,0,13,analog,MW,KMM,KL,,,,spore,vegetative,,,
791,4/21/17,114 0938,,4/12/17,,4/12/17,,WA,,,2,6,,,C,10-5,32,1,33,analog,MW,KMM,KL,,,,spore,vegetative,,,
793,4/21/17,114 0939,,4/12/17,,4/12/17,,WA,,,2,7,,,C,10-5,10,0,10,analog,AZD,KMM,KL,,,,spore,vegetative,,,
795,4/21/17,114 0940,,4/12/17,,4/12/17,,WA,,,2,8,,,C,10-5,64,8,72,analog,AZD,KMM,KL,,,,spore,vegetative,,,
797,4/21/17,114 0941,,4/12/17,,4/12/17,,WA,,,2,9,,,C,10-5,16,0,16,analog,AZD,KMM,KL,,,,spore,vegetative,,,
799,4/21/17,114 0943,,4/12/17,,4/12/17,,WA,,,2,10,,,C,10-5,42,1,43,analog,AZD,KMM,KL,,,,spore,vegetative,,,
801,4/21/17,114 0944,,4/12/17,,4/12/17,,WA,,,2,11,,,C,10-5,46,0,46,analog,AZD,KMM,KL,,,,spore,vegetative,,,
803,4/21/17,114 0945,,4/12/17,,4/12/17,,WA,,,2,12,,,C,10-5,71,2,73,analog,AZD,KMM,KL,,,,spore,vegetative,,,
805,4/21/17,114 0946,,4/12/17,,4/12/17,,WA,,,2,13,,,C,10-5,20,0,20,analog,AZD,KMM,KL,,,,spore,vegetative,,,
807,4/21/17,114 0947,,4/12/17,,4/12/17,,WA,,,2,14,,,C,10-5,8,0,8,analog,AZD,KMM,KL,,,,spore,vegetative,,,
809,4/21/17,114 0948,,4/12/17,,4/12/17,,WA,,,2,15,,,C,10-5,20,1,21,analog,AZD,KMM,KL,,,,spore,vegetative,,,
811,4/21/17,114 0972,,4/14/17,,4/14/17,,WA,,,2,5,,M,,10-5,nan,nan,0,analog,,,,,,,spore,vegetative,,,
813,4/21/17,114 0974,,4/14/17,,4/14/17,,WA,,,2,5,,M,,10-4,nan,nan,0,analog,,,,,,,spore,vegetative,,,
815,4/28/17,114 0975,,4/14/17,,4/14/17,,WA,,,2,5,,M,,10-3,nan,nan,0,analog,,,,,,,spore,vegetative,,,
817,4/28/17,114 0976,,4/14/17,,4/14/17,,WA,,,2,6,,M,,10-5,nan,nan,0,analog,,,,,,,spore,vegetative,,,
819,4/28/17,114 0978,,4/14/17,,4/14/17,,WA,,,2,6,,M,,10-4,nan,nan,0,analog,,,,,,,spore,vegetative,,,
821,4/28/17,114 0979,,4/14/17,,4/14/17,,WA,,,2,6,,M,,10-3,nan,nan,0,analog,,,,,,,spore,vegetative,,,
823,4/28/17,114 0982,,4/14/17,,4/14/17,,WA,,,2,3,,M,,10-5,nan,nan,0,analog,,,,,,,spore,vegetative,,,
825,4/28/17,114 0983,,4/14/17,,4/14/17,,WA,,,2,3,,M,,10-4,nan,nan,0,analog,,,,,,,spore,vegetative,,,
827,4/28/17,114 0984,,4/14/17,,4/14/17,,WA,,,2,3,,M,,10-3,nan,nan,0,analog,,,,,,,spore,vegetative,,,
829,4/21/17,114 0986,,4/14/17,,4/14/17,,WA,,,2,25,,M,,10-5,nan,nan,0,analog,,,,,,,spore,vegetative,,,
831,4/21/17,114 0987,,4/14/17,,4/14/17,,WA,,,2,25,,M,,10-4,nan,nan,0,analog,,,,,,,spore,vegetative,,,
833,4/21/17,114 0988,,4/14/17,,4/14/17,,WA,,,2,25,,M,,10-3,nan,nan,0,analog,,,,,,,spore,vegetative,,,
835,4/28/17,114 0989,,4/14/17,,4/14/17,,WA,,,2,26,,M,,10-5,nan,nan,0,analog,,,,,,,spore,vegetative,,,
837,4/28/17,114 0991,,4/14/17,,4/14/17,,WA,,,2,26,,M,,10-4,nan,nan,0,analog,,,,,,,spore,vegetative,,,
839,4/28/17,114 0994,,4/14/17,,4/14/17,,WA,,,2,26,,M,,10-3,nan,nan,0,analog,,,,,,,spore,vegetative,,,
841,4/28/17,114 0995,,4/14/17,,4/14/17,,WA,,,2,27,,M,,10-5,nan,nan,0,analog,,,,,,,spore,vegetative,,,
843,4/28/17,114 0996,,4/14/17,,4/14/17,,WA,,,2,27,,M,,10-3,nan,nan,0,analog,,,,,,,spore,vegetative,,,
845,4/28/17,114 1003,,4/14/17,,4/14/17,,WA,,,2,27,,M,,10-4,nan,nan,0,analog,,,,,,,spore,vegetative,,,
