,Photo Date,Photo ID ,Photographed By,Date Plated,Plated By,"Date of Trial
 (Monday)",Set ID,strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),total consumption (24 hours mm),total consumption (48 hours mm),Total Consumption ,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
629,6/9/17,136 2706,,6/1/17,JC,5/22/17,,WA,8,29,,F,GOT,10-5,1,24,25,analog,PJW,SLD,,,,,vegetative,spore,,,contaminated,,,,,,,,,
631,6/9/17,136 2711,,6/1/17,JC,5/22/17,,WA,8,30,,F,GOT,10-3,86,181,267,analog,PJW,SLD,,,,,vegetative,spore,,,,,,,,,,,,
633,6/9/17,136 2710,,6/1/17,JC,5/22/17,,WA,8,30,,F,GOT,10-4,64,16,80,analog,PJW,SLD,,,,,vegetative,spore,,,contaminated,,,,,,,,,
635,6/9/17,136 2709,,6/1/17,JC,5/22/17,,WA,8,30,,F,GOT,10-5,9,40,49,analog,PJW,SLD,,,,,vegetative,spore,,,contaminated,,,,,,,,,
637,6/14/17,137 2777,,,,5/22/17,,WA,8,1,,M,GOT,10-3,8,80,88,analog,PJW,SLD,,,,,vegetative,spore,,,,,,,,,,,,
639,8/14/17,153 3990,,,,5/22/17,,WA,8,1,,M,GOT,10-4,0,5,5,analog,,SLD,,,,,vegetative,spore,,,,,,,,,,,,
641,10/24/17,164 4761,,,,5/22/17,,WA,8,1,,M,GOT,10-5,0,38,38,analog,,CK,,,,,vegetative,spore,,,,,,,,,,,,
643,6/14/17,137 2776,,,,5/22/17,,WA,8,2,,M,GOT,10-3,1,52,53,analog,PJW,SLD,,,,,vegetative,spore,,,contaminated,,,,,,,,,
645,8/14/17,153 3991,,,,5/22/17,,WA,8,2,,M,GOT,10-4,10,10,20,analog,,SLD,,,,,vegetative,spore,,,,,,,,,,,,
647,10/24/17,164 4762,,,,5/22/17,,WA,8,2,,M,GOT,10-5,0,22,22,analog,,CK,,,,,vegetative,spore,,,,,,,,,,,,
649,6/14/17,137 2775,,,,5/22/17,,WA,8,3,,M,GOT,10-3,4,64,68,analog,PJW,SLD,,,,,vegetative,spore,,,,,,,,,,,,
651,8/14/17,153 3992,,,,5/22/17,,WA,8,3,,M,GOT,10-4,0,11,11,analog,,SLD,,,,,vegetative,spore,,,,,,,,,,,,
653,10/24/17,164 4763,,,,5/22/17,,WA,8,3,,M,GOT,10-5,8,20,28,analog,,CK,,,,,vegetative,spore,,,,,,,,,,,,
655,6/14/17,137 2774,,,,5/22/17,,WA,8,4,,M,GOT,10-3,0,113,113,analog,PJW,SLD,,,,,vegetative,spore,,,contaminated,,,,,,,,,
657,8/14/17,153 3993,,,,5/22/17,,WA,8,4,,M,GOT,10-4,0,3,3,analog,,SLD,,,,,vegetative,spore,,,,,,,,,,,,
659,10/24/17,164 4765,,,,5/22/17,,WA,8,4,,M,GOT,10-5,0,0,0,analog,,CK,,,,,vegetative,spore,,,,,,,,,,,,
661,6/14/17,137 2773,,,,5/22/17,,WA,8,5,,M,GOT,10-3,4,83,87,analog,PJW,SLD,,,,,vegetative,spore,,,contaminated,,,,,,,,,
663,8/14/17,153 3994,,,,5/22/17,,WA,8,5,,M,GOT,10-4,1,18,19,analog,,SLD,,,,,vegetative,spore,,,,,,,,,,,,
665,10/24/17,164 4766,,,,5/22/17,,WA,8,5,,M,GOT,10-5,10,0,10,analog,,CK,,,,,vegetative,spore,,,,,,,,,,,,
667,6/14/17,137 2772,,,,5/22/17,,WA,8,6,,M,GOT,10-3,0,26,26,analog,PJW,SLD,,,,,vegetative,spore,,,contaminated,,,,,,,,,
669,8/14/17,153 3995,,,,5/22/17,,WA,8,6,,M,GOT,10-4,0,1,1,analog,,SLD,,,,,vegetative,spore,,,,,,,,,,,,
671,10/24/17,164 4767,,,,5/22/17,,WA,8,6,,M,GOT,10-5,2,0,2,analog,,CK,,,,,vegetative,spore,,,,,,,,,,,,
673,6/14/17,137 2771,,,,5/22/17,,WA,8,7,,M,GOT,10-3,0,2,2,analog,PJW,SLD,,,,,vegetative,spore,,,contaminated,,,,,,,,,
675,8/14/17,153 3996,,,,5/22/17,,WA,8,7,,M,GOT,10-4,0,0,0,analog,,SLD,,,,,vegetative,spore,,,,,,,,,,,,
677,10/24/17,164 4770,,,,5/22/17,,WA,8,7,,M,GOT,10-5,0,0,0,analog,,CK,,,,,vegetative,spore,,,,,,,,,,,,
679,6/14/17,137 2770,,,,5/22/17,,WA,8,8,,M,GOT,10-3,0,0,0,analog,PJW,SLD,,,,,vegetative,spore,,,contaminated,,,,,,,,,
681,8/14/17,153 3997,,,,5/22/17,,WA,8,8,,M,GOT,10-4,0,0,0,analog,,SLD,,,,,vegetative,spore,,,,,,,,,,,,
683,10/24/17,164 4772,,,,5/22/17,,WA,8,8,,M,GOT,10-5,0,0,0,analog,,CK,,,,,vegetative,spore,,,,,,,,,,,,
685,6/14/17,137 2769,,,,5/22/17,,WA,8,9,,M,GOT,10-3,0,0,0,analog,PJW,SLD,,,,,vegetative,spore,,,contaminated,,,,,,,,,
687,8/14/17,153 3998,,,,5/22/17,,WA,8,9,,M,GOT,10-4,0,0,0,analog,,SLD,,,,,vegetative,spore,,,,,,,,,,,,
689,10/24/17,164 4775,,,,5/22/17,,WA,8,9,,M,GOT,10-5,0,0,0,analog,,CK,,,,,vegetative,spore,,,,,,,,,,,,
691,6/14/17,137 2768,,,,5/22/17,,WA,8,10,,M,GOT,10-3,40,281,321,analog,PJW,SLD,,,,,vegetative,spore,,,,,,,,,,,,
693,8/14/17,153 3999,,,,5/22/17,,WA,8,10,,M,GOT,10-4,1,12,13,analog,,SLD,,,,,vegetative,spore,,,,,,,,,,,,
695,10/24/17,164 4776,,,,5/22/17,,WA,8,10,,M,GOT,10-5,0,2,2,analog,,CK,,,,,vegetative,spore,,,,,,,,,,,,
697,10/12/17,161 4575,,,,5/22/17,,WA,8,11,,M,GOT,10-3,0,0,0,analog,,FW,FW,,,,vegetative,spore,,,,,,,,,,,,
699,10/17/17,162 4659,,,,5/22/17,,WA,8,11,,M,GOT,10-4,0,0,0,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
701,10/12/17,161 4585,,,,5/22/17,,WA,8,11,,M,GOT,10-5,0,0,0,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
703,10/12/17,161 4576,,,,5/22/17,,WA,8,12,,M,GOT,10-3,0,10,10,analog,,FW,FW,,,,vegetative,spore,,,,,,,,,,,,
705,10/17/17,162 4658,,,,5/22/17,,WA,8,12,,M,GOT,10-4,0,0,0,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
707,10/12/17,161 4586,,,,5/22/17,,WA,8,12,,M,GOT,10-5,0,0,0,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
709,10/12/17,161 4577,,,,5/22/17,,WA,8,13,,M,GOT,10-3,0,0,0,analog,,FW,FW,,,,vegetative,spore,,,,,,,,,,,,
711,10/17/17,162 4655,,,,5/22/17,,WA,8,13,,M,GOT,10-4,0,0,0,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
713,10/12/17,161 4587,,,,5/22/17,,WA,8,13,,M,GOT,10-5,0,0,0,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
715,10/12/17,161 4578,,,,5/22/17,,WA,8,14,,M,GOT,10-3,0,94,94,analog,,FW,FW,,,,vegetative,spore,,,,,,,,,,,,
717,10/17/17,162 4654,,,,5/22/17,,WA,8,14,,M,GOT,10-4,0,3,3,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
719,10/12/17,161 4588,,,,5/22/17,,WA,8,14,,M,GOT,10-5,0,5,5,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
721,10/12/17,161 4579,,,,5/22/17,,WA,8,15,,M,GOT,10-3,1,123,124,analog,,FW,FW,,,,vegetative,spore,,,,,,,,,,,,
723,10/17/17,161 4650,,,,5/22/17,,WA,8,15,,M,GOT,10-4,0,27,27,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
725,10/12/17,161 4589,,,,5/22/17,,WA,8,15,,M,GOT,10-5,0,29,29,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
727,10/12/17,161 4580,,,,5/22/17,,WA,8,16,,M,GOT,10-3,9,163,172,analog,,FW,FW,,,,vegetative,spore,,,,,,,,,,,,
729,10/17/17,162 4649,,,,5/22/17,,WA,8,16,,M,GOT,10-4,0,4,4,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
731,10/12/17,161 4590,,,,5/22/17,,WA,8,16,,M,GOT,10-5,0,7,7,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
733,10/12/17,161 4581,,,,5/22/17,,WA,8,17,,M,GOT,10-3,0,6,6,analog,,FW,FW,,,,vegetative,spore,,,,,,,,,,,,
735,10/17/17,162 4648,,,,5/22/17,,WA,8,17,,M,GOT,10-4,0,3,3,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
737,10/12/17,161 4591,,,,5/22/17,,WA,8,17,,M,GOT,10-5,0,0,0,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
739,10/12/17,161 4582,,,,5/22/17,,WA,8,18,,M,GOT,10-3,1,22,23,analog,,FW,FW,,,,vegetative,spore,,,,,,,,,,,,
741,10/17/17,162 4647,,,,5/22/17,,WA,8,18,,M,GOT,10-4,0,0,0,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
743,10/12/17,161 4592,,,,5/22/17,,WA,8,18,,M,GOT,10-5,0,0,0,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
745,10/12/17,161 4583,,,,5/22/17,,WA,8,19,,M,GOT,10-3,13,229,242,analog,,FW,FW,,,,vegetative,spore,,,,,,,,,,,,
747,10/17/17,162 4646,,,,5/22/17,,WA,8,19,,M,GOT,10-4,1,0,1,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
749,10/12/17,161 4593,,,,5/22/17,,WA,8,19,,M,GOT,10-5,0,0,0,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
751,10/12/17,161 4584,,,,5/22/17,,WA,8,20,,M,GOT,10-3,2,14,16,analog,,FW,FW,,,,vegetative,spore,,,,,,,,,,,,
753,10/17/17,162 4645,,,,5/22/17,,WA,8,20,,M,GOT,10-4,0,3,3,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
755,10/12/17,161 4594,,,,5/22/17,,WA,8,20,,M,GOT,10-5,0,3,3,analog,,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
757,10/25/17,165 4833,,,,5/22/17,,WA,8,21,,M,GOT,10-3,0,1,1,analog,,FW,FW,,,,vegetative,spore,,,contaminated,,,,,,,,,
759,10/10/17,160 4497,KL,,,5/22/17,,WA,8,21,,M,GOT,10-4,0,0,0,analog,JC,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
761,8/14/17,153 4000,,,,5/22/17,,WA,8,21,,M,GOT,10-5,0,0,0,analog,,SLD,FW,,,,vegetative,spore,,,,,,,,,,,,
763,10/25/17,165 4832,,,,5/22/17,,WA,8,22,,M,GOT,10-3,0,7,7,analog,,FW,FW,,,,vegetative,spore,,,contaminated,,,,,,,,,
765,10/10/17,160 4498,KL,,,5/22/17,,WA,8,22,,M,GOT,10-4,0,0,0,analog,JC,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
767,8/14/17,153 4001,,,,5/22/17,,WA,8,22,,M,GOT,10-5,0,0,0,analog,,SLD,FW,,,,vegetative,spore,,,contaminated,,,,,,,,,
769,10/25/17,165 4833,,,,5/22/17,,WA,8,23,,M,GOT,10-3,2,50,52,analog,,FW,FW,,,,vegetative,spore,,,contaminated,,,,,,,,,
771,10/10/17,160 4499,KL,,,5/22/17,,WA,8,23,,M,GOT,10-4,1,18,19,analog,JC,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
773,8/14/17,153 4002,,,,5/22/17,,WA,8,23,,M,GOT,10-5,0,1,1,analog,,SLD,FW,,,,vegetative,spore,,,contaminated,,,,,,,,,
775,10/25/17,165 4834,,,,5/22/17,,WA,8,24,,M,GOT,10-3,0,54,54,analog,,FW,FW,,,,vegetative,spore,,,contaminated,,,,,,,,,
777,10/10/17,160 4502,KL,,,5/22/17,,WA,8,24,,M,GOT,10-4,0,0,0,analog,JC,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
779,8/14/17,153 4003,,,,5/22/17,,WA,8,24,,M,GOT,10-5,0,2,2,analog,,SLD,FW,,,,vegetative,spore,,,,,,,,,,,,
781,10/25/17,165 4835,,,,5/22/17,,WA,8,25,,M,GOT,10-3,9,43,52,analog,,FW,FW,,,,vegetative,spore,,,contaminated,,,,,,,,,
783,10/10/17,160 4503,KL,,,5/22/17,,WA,8,25,,M,GOT,10-4,0,0,0,analog,JC,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
785,8/14/17,153 4004,,,,5/22/17,,WA,8,25,,M,GOT,10-5,0,0,0,analog,,SLD,FW,,,,vegetative,spore,,,,,,,,,,,,
787,10/25/17,165 4836,,,,5/22/17,,WA,8,26,,M,GOT,10-3,16,191,207,analog,,FW,FW,,,,vegetative,spore,,,,,,,,,,,,
789,10/10/17,160 4504,KL,,,5/22/17,,WA,8,26,,M,GOT,10-4,0,0,0,analog,JC,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
791,8/14/17,153 4005,,,,5/22/17,,WA,8,26,,M,GOT,10-5,0,25,25,analog,,SLD,FW,,,,vegetative,spore,,,,,,,,,,,,
793,10/25/17,165 4837,,,,5/22/17,,WA,8,27,,M,GOT,10-3,0,37,37,analog,,FW,FW,,,,vegetative,spore,,,,,,,,,,,,
795,10/10/17,160 4505,KL,,,5/22/17,,WA,8,27,,M,GOT,10-4,0,0,0,analog,JC,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
797,8/14/17,153 4006,,,,5/22/17,,WA,8,27,,M,GOT,10-5,0,3,3,analog,,SLD,FW,,,,vegetative,spore,,,,,,,,,,,,
799,10/25/17,165 4838,,,,5/22/17,,WA,8,28,,M,GOT,10-3,0,1,1,analog,,FW,FW,,,,vegetative,spore,,,contaminated,,,,,,,,,
801,10/10/17,160 4506,KL,,,5/22/17,,WA,8,28,,M,GOT,10-4,0,0,0,analog,JC,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
803,8/14/17,153 4007,,,,5/22/17,,WA,8,28,,M,GOT,10-5,0,0,0,analog,,SLD,FW,,,,vegetative,spore,,,,,,,,,,,,
805,10/25/17,165 4839,,,,5/22/17,,WA,8,29,,M,GOT,10-3,4,72,76,analog,,FW,FW,,,,vegetative,spore,,,contaminated,,,,,,,,,
807,10/10/17,160 4507,KL,,,5/22/17,,WA,8,29,,M,GOT,10-4,1,0,1,analog,JC,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
809,8/14/17,153 4008,,,,5/22/17,,WA,8,29,,M,GOT,10-5,0,2,2,analog,,SLD,FW,,,,vegetative,spore,,,,,,,,,,,,
811,10/25/17,165 4840,,,,5/22/17,,WA,8,30,,M,GOT,10-3,0,3,3,analog,,FW,FW,,,,vegetative,spore,,,contaminated,,,,,,,,,
813,10/10/17,160 4508,KL,,,5/22/17,,WA,8,30,,M,GOT,10-4,0,0,0,analog,JC,CK,FW,,,,vegetative,spore,,,,,,,,,,,,
815,8/14/17,153 4009,,,,5/22/17,,WA,8,30,,M,GOT,10-5,0,2,2,analog,,SLD,FW,,,,vegetative,spore,,,,,,,,,,,,
