,Photo Date,Photo ID ,Photographed By,Date Plate,Plated By,"Date of Trial
 (Monday)",Set ID,strain,Week Number,Replicate Number,# flies,Sex,"Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))
","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),"total consumption (mm, 24 hrs)","total consumption (mm, 48 hrs)",Total Consumption,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes
677,7/10/17,140 2998,FW,,JC,5/1/17,,WE,5,7,,M,GOT,10-5,0,8,8,analog,BH,FW,,,,,vegetative,spore,,,
679,7/10/17,140 2999,FW,,JC,5/1/17,,WE,5,8,,M,GOT,10-3,53,224,277,analog,BH,FW,,,,,vegetative,spore,,,cont
681,7/10/17,140 3000,FW,,JC,5/1/17,,WE,5,8,,M,GOT,10-4,0,2,2,analog,,FW,,,,,vegetative,spore,,,cont
683,7/10/17,140 3001,FW,,JC,5/1/17,,WE,5,8,,M,GOT,10-5,0,0,0,analog,BH,FW,,,,,vegetative,spore,,,cont
685,7/10/17,140 3002,FW,,JC,5/1/17,,WE,5,9,,M,GOT,10-3,22,255,277,analog,BH,FW,,,,,vegetative,spore,,,cont
687,7/10/17,140 3003,FW,,JC,5/1/17,,WE,5,9,,M,GOT,10-4,0,154,154,analog,BH,FW,,,,,vegetative,spore,,,cont
689,7/10/17,140 3004,FW,,JC,5/1/17,,WE,5,9,,M,GOT,10-5,0,14,14,analog,BH,FW,,,,,vegetative,spore,,,
691,7/10/17,140 2969,FW,,JC,5/1/17,,WE,5,10,,M,GOT,10-3,0,381,381,analog,BH,FW,,,,,vegetative,spore,,,cont
693,7/10/17,140 2970,FW,,JC,5/1/17,,WE,5,10,,M,GOT,10-4,0,8,8,analog,BH,FW,,,,,vegetative,spore,,,cont
695,7/10/17,140 2971,FW,,JC,5/1/17,,WE,5,10,,M,GOT,10-5,0,3,3,analog,BH,FW,,,,,vegetative,spore,,,
697,7/10/17,140 2972,FW,,JC,5/1/17,,WE,5,11,,M,GOT,10-3,5,207,212,analog,BH,FW,,,,,vegetative,spore,,,cont
699,7/10/17,140 2973,FW,,JC,5/1/17,,WE,5,11,,M,GOT,10-4,0,149,149,analog,BH,FW,,,,,vegetative,spore,,,cont
701,7/10/17,140 2974,FW,,JC,5/1/17,,WE,5,11,,M,GOT,10-5,0,16,16,analog,BH,FW,,,,,vegetative,spore,,,cont
703,7/10/17,140 2975,FW,,JC,5/1/17,,WE,5,12,,M,GOT,10-3,6,279,285,analog,BH,FW,,,,,vegetative,spore,,,cont
705,7/10/17,140 2976,FW,,JC,5/1/17,,WE,5,12,,M,GOT,10-4,0,57,57,analog,BH,FW,,,,,vegetative,spore,,,
707,7/10/17,140 2977,FW,,JC,5/1/17,,WE,5,12,,M,GOT,10-5,0,20,20,analog,BH,FW,,,,,vegetative,spore,,,cont
709,5/26/17,131 2530,FW,,JC,5/1/17,,WE,5,13,,M,GOT,10-3,nan,nan,0,analog,,,,,,,vegetative,spore,,,
711,5/26/17,131 2528,FW,,JC,5/1/17,,WE,5,13,,M,GOT,10-4,0,75,75,analog,,SLD,,,,,vegetative,spore,,,
713,5/26/17,131 2527,FW,,JC,5/1/17,,WE,5,13,,M,GOT,10-5,0,6,6,analog,,SLD,,,,,vegetative,spore,,,
715,5/26/17,131 2533,FW,,JC,5/1/17,,WE,5,14,,M,GOT,10-3,nan,nan,0,analog,,,,,,,vegetative,spore,,,
717,5/26/17,131 2532,FW,,JC,5/1/17,,WE,5,14,,M,GOT,10-4,nan,nan,0,analog,,,,,,,vegetative,spore,,,
719,5/26/17,131 2531,FW,,JC,5/1/17,,WE,5,14,,M,GOT,10-5,0,146,146,analog,,SLD,,,,,vegetative,spore,,,
721,5/26/17,131 2537,FW,,JC,5/1/17,,WE,5,15,,M,GOT,10-3,41,NC,#VALUE!,analog,,SLD,,,,,vegetative,spore,,,
723,5/26/17,131 2535,FW,,JC,5/1/17,,WE,5,15,,M,GOT,10-4,16,334,350,analog,,SLD,,,,,vegetative,spore,,,
725,5/26/17,131 2534,FW,,JC,5/1/17,,WE,5,15,,M,GOT,10-5,0,131,131,analog,,SLD,,,,,vegetative,spore,,,
727,7/11/17,141 3077,FW,,KMT/ST,5/1/17,,WE,5,16,,M,GOT,10-3,5,343,348,analog,UR,CK,,,,,vegetative,spore,,,cont
729,7/11/17,141 3078,FW,,KMT/ST,5/1/17,,WE,5,16,,M,GOT,10-4,6,206,212,analog,UR,CK,,,,,vegetative,spore,,,
731,7/11/17,141 3079,FW,,KMT/ST,5/1/17,,WE,5,16,,M,GOT,10-5,0,13,13,analog,UR,CK,,,,,vegetative,spore,,,
733,7/11/17,141 3080,FW,,KMT/ST,5/1/17,,WE,5,17,,M,GOT,10-3,0,14,14,analog,UR,CK,,,,,vegetative,spore,,,cont
735,7/11/17,141 3081,FW,,KMT/ST,5/1/17,,WE,5,17,,M,GOT,10-4,0,141,141,analog,UR,CK,,,,,vegetative,spore,,,
737,7/11/17,141 3082,FW,,KMT/ST,5/1/17,,WE,5,17,,M,GOT,10-5,0,1,1,analog,UR,CK,,,,,vegetative,spore,,,cont
739,7/11/17,141 3083,FW,,KMT/ST,5/1/17,,WE,5,18,,M,GOT,10-3,0,98,98,analog,UR,CK,,,,,vegetative,spore,,,cont
741,7/11/17,141 3084,FW,,KMT/ST,5/1/17,,WE,5,18,,M,GOT,10-4,2,95,97,analog,UR,CK,,,,,vegetative,spore,,,
743,7/11/17,141 3085,FW,,KMT/ST,5/1/17,,WE,5,18,,M,GOT,10-5,0,10,10,analog,UR,CK,,,,,vegetative,spore,,,
745,7/10/17,140 2978,FW,,KMT/ST,5/1/17,,WE,5,19,,M,GOT,10-3,0,18,18,analog,JC,FW,,,,,vegetative,spore,,,cont
747,7/10/17,140 2979,FW,,KMT/ST,5/1/17,,WE,5,19,,M,GOT,10-4,0,1,1,analog,JC,FW,,,,,vegetative,spore,,,cont
749,7/10/17,140 2980,FW,,KMT/ST,5/1/17,,WE,5,19,,M,GOT,10-5,0,47,47,analog,JC,FW,,,,,vegetative,spore,,,cont
751,7/10/17,140 2981,FW,,KMT/ST,5/1/17,,WE,5,20,,M,GOT,10-3,0,384,384,analog,JC,FW,,,,,vegetative,spore,,,cont
753,7/10/17,140 2982,FW,,KMT/ST,5/1/17,,WE,5,20,,M,GOT,10-4,0,29,29,analog,JC,FW,,,,,vegetative,spore,,,cont
755,7/10/17,140 2983,FW,,KMT/ST,5/1/17,,WE,5,20,,M,GOT,10-5,0,3,3,analog,JC,FW,,,,,vegetative,spore,,,cont
757,7/10/17,140 2984,FW,,KMT/ST,5/1/17,,WE,5,21,,M,GOT,10-3,6,215,221,analog,JC,FW,,,,,vegetative,spore,,,cont
759,7/10/17,140 2985,FW,,KMT/ST,5/1/17,,WE,5,21,,M,GOT,10-4,3,77,80,analog,JC,FW,,,,,vegetative,spore,,,cont
761,7/10/17,140 2986,FW,,KMT/ST,5/1/17,,WE,5,21,,M,GOT,10-5,0,7,7,analog,JC,FW,,,,,vegetative,spore,,,cont
763,7/10/17,140 2987,FW,,KMT/ST,5/1/17,,WE,5,22,,M,GOT,10-3,nan,nan,0,analog,,,,,,,vegetative,spore,,,
765,7/10/17,140 2988,FW,,KMT/ST,5/1/17,,WE,5,22,,M,GOT,10-4,nan,nan,0,analog,,,,,,,vegetative,spore,,,
767,7/10/17,140 2989,FW,,KMT/ST,5/1/17,,WE,5,22,,M,GOT,10-5,nan,nan,0,analog,,,,,,,vegetative,spore,,,
769,7/10/17,140 2990,FW,,KMT/ST,5/1/17,,WE,5,23,,M,GOT,10-3,nan,nan,0,analog,,,,,,,vegetative,spore,,,
771,7/10/17,140 2991,FW,,KMT/ST,5/1/17,,WE,5,23,,M,GOT,10-4,nan,nan,0,analog,,,,,,,vegetative,spore,,,
773,7/10/17,140 2992,FW,,KMT/ST,5/1/17,,WE,5,23,,M,GOT,10-5,nan,nan,0,analog,,,,,,,vegetative,spore,,,
775,7/10/17,140 2993,FW,,KMT/ST,5/1/17,,WE,5,24,,M,GOT,10-3,nan,nan,0,analog,,,,,,,vegetative,spore,,,
777,7/10/17,140 2994,FW,,KMT/ST,5/1/17,,WE,5,24,,M,GOT,10-4,nan,nan,0,analog,,,,,,,vegetative,spore,,,
779,7/10/17,140 2995,FW,,KMT/ST,5/1/17,,WE,5,24,,M,GOT,10-5,nan,nan,0,analog,,,,,,,vegetative,spore,,,
781,7/10/17,140 3014,FW,,KMT/ST,5/1/17,,WE,5,25,,M,GOT,10-3,66,567,633,analog,FW,CK,,,,,vegetative,spore,,,cont
783,7/10/17,140 3015,FW,,KMT/ST,5/1/17,,WE,5,25,,M,GOT,10-4,9,84,93,analog,FW,CK,,,,,vegetative,spore,,,
785,7/10/17,140 3016,FW,,KMT/ST,5/1/17,,WE,5,25,,M,GOT,10-5,0,23,23,analog,FW,CK,,,,,vegetative,spore,,,cont
787,7/10/17,140 3017,FW,,KMT/ST,5/1/17,,WE,5,26,,M,GOT,10-3,124,271,395,analog,FW,CK,,,,,vegetative,spore,,,cont
789,7/10/17,140 3018,FW,,KMT/ST,5/1/17,,WE,5,26,,M,GOT,10-4,22,26,48,analog,FW,CK,,,,,vegetative,spore,,,cont
791,7/10/17,140 3019,FW,,KMT/ST,5/1/17,,WE,5,26,,M,GOT,10-5,4,8,12,analog,FW,CK,,,,,vegetative,spore,,,cont
793,7/10/17,140 3020,FW,,KMT/ST,5/1/17,,WE,5,27,,M,GOT,10-3,29,100,129,analog,FW,CK,,,,,vegetative,spore,,,cont
795,7/10/17,140 3021,FW,,KMT/ST,5/1/17,,WE,5,27,,M,GOT,10-4,0,25,25,analog,FW,CK,,,,,vegetative,spore,,,cont
797,7/10/17,140 3022,FW,,KMT/ST,5/1/17,,WE,5,27,,M,GOT,10-5,2,4,6,analog,FW,CK,,,,,vegetative,spore,,,
799,7/11/17,141 3086,FW,,KMT/ST,5/1/17,,WE,5,28,,M,GOT,10-3,94,44,138,analog,TY,FW,,,,,vegetative,spore,,,cont
801,7/11/17,141 3087,FW,,KMT/ST,5/1/17,,WE,5,28,,M,GOT,10-4,17,25,42,analog,TY,FW,,,,,vegetative,spore,,,cont
803,7/11/17,141 3088,FW,,KMT/ST,5/1/17,,WE,5,28,,M,GOT,10-5,0,1,1,analog,TY,FW,,,,,vegetative,spore,,,cont
805,7/11/17,141 3089,FW,,KMT/ST,5/1/17,,WE,5,29,,M,GOT,10-3,36,408,444,analog,TY,FW,,,,,vegetative,spore,,,cont
807,7/11/17,141 3090,FW,,KMT/ST,5/1/17,,WE,5,29,,M,GOT,10-4,57,279,336,analog,TY,FW,,,,,vegetative,spore,,,cont
809,7/11/17,141 3091,FW,,KMT/ST,5/1/17,,WE,5,29,,M,GOT,10-5,37,93,130,analog,TY,FW,,,,,vegetative,spore,,,cont
811,7/11/17,141 3092,FW,,KMT/ST,5/1/17,,WE,5,30,,M,GOT,10-3,198,528,726,analog,TY,FW,,,,,vegetative,spore,,,cont
813,7/11/17,141 3093,FW,,KMT/ST,5/1/17,,WE,5,30,,M,GOT,10-4,17,67,84,analog,TY,FW,,,,,vegetative,spore,,,cont
815,7/11/17,141 3094,FW,,KMT/ST,5/1/17,,WE,5,30,,M,GOT,10-5,0,27,27,analog,TY,FW,,,,,vegetative,spore,,,cont
