, Photo Date,Photo ID ,Photographed By,Date Plated,Plated By,"Date of Trial
(Monday)",Set ID,Strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),"total consumption (mm, 24 hrs)","total consumption (mm, 48 hrs)",Total Consumption,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
465,,,,4/20/17,,4/17/17,,WE,3,2,,F,GOT ,10-4,69,50,119,analog,,,,33,,,spore,vegetative,,,,,,,,,,,,,,
467,6/2/17,133 2627,,4/20/17,JC,4/17/17,,WE,3,2,,F,GOT ,10-5,0,0,0,analog,MA,KMM,,33,,,spore,vegetative,,,contaminated,,,,,,,,,,,
469,6/2/17,133 2619,,4/20/17,JC,4/17/17,,WE,3,3,,F,GOT ,10-3,nc,nc,#VALUE!,analog,,KMM,,23,,,spore,vegetative,,,contaminated,,,,,,,,,,,
471,,,,4/20/17,,4/17/17,,WE,3,3,,F,GOT ,10-4,255,42,297,analog,,KMM,,23,,,spore,vegetative,,,,,,,,,,,,,,
473,6/2/17,133 2628,,4/20/17,JC,4/17/17,,WE,3,3,,F,GOT ,10-5,50,30,80,analog,FP,FW,,23,,,spore,vegetative,,,,,,,,,,,,,,
475,6/2/17,133 2620,,4/20/17,JC,4/17/17,,WE,3,4,,F,GOT ,10-3,nc,nc,#VALUE!,analog,,KMM,,39,,,spore,vegetative,,,contamintaed,,,,,,,,,,,
477,,,,4/20/17,,4/17/17,,WE,3,4,,F,GOT ,10-4,64,14,78,analog,,KMM,,39,,,spore,vegetative,,,,,,,,,,,,,,
479,6/2/17,133 2621,,4/20/17,JC,4/17/17,,WE,3,4,,F,GOT ,10-5,10,15,25,analog,,KMM,,39,,,spore,vegetative,,,contaminated,,,,,,,,,,,
481,6/2/17,133 2622,,4/20/17,JC,4/17/17,,WE,3,5,,F,GOT ,10-3,nc,nc,#VALUE!,analog,,KMM,,15,,,spore,vegetative,,,contaminated,,,,,,,,,,,
483,,,,4/20/17,,4/17/17,,WE,3,5,,F,GOT ,10-4,192,46,238,analog,,KMM,,15,,,spore,vegetative,,,,,,,,,,,,,,
485,6/2/17,133 2623,,4/20/17,JC,4/17/17,,WE,3,5,,F,GOT ,10-5,nc,nc,#VALUE!,analog,,KMM,,15,,,spore,vegetative,,,contaminated,,,,,,,,,,,
487,6/2/17,133 2624,,4/20/17,JC,4/17/17,,WE,3,6,,F,GOT ,10-3,nc,nc,#VALUE!,analog,,AZD KMM,,34,,,spore,vegetative,,,,,,,,,,,,,,
489,,,,4/20/17,,4/17/17,,WE,3,6,,F,GOT ,10-4,79,28,107,analog,,KMM,,34,,,spore,vegetative,,,,,,,,,,,,,,
491,5/31/17,132 2570,,4/20/17,JC,4/17/17,,WE,3,6,,F,GOT ,10-5,nan,nan,0,analog,,,,34,,,spore,vegetative,,,,,,,,,,,,,,
493,6/2/17,133 2625,,4/20/17,JC,4/17/17,,WE,3,7,,F,GOT ,10-3,909,591,1500,analog,,KMM,,33,,,spore,vegetative,,,,,,,,,,,,,,
495,,,,4/20/17,,4/17/17,,WE,3,7,,F,GOT ,10-4,265,223,488,analog,,,,33,,,spore,vegetative,,,,,,,,,,,,,,
497,6/1/17,132 2597,,4/20/17,JC,4/17/17,,WE,3,7,,F,GOT ,10-5,nan,nan,0,analog,,,,33,,,spore,vegetative,,,,,,,,,,,,,,
499,5/31/17,132 2571,,4/20/17,JC,4/17/17,,WE,3,8,,F,GOT ,10-3,nc,nc,#VALUE!,analog,,AZD,,36,,,spore,vegetative,,,,,,,,,,,,,,
501,,,,4/20/17,,4/17/17,,WE,3,8,,F,GOT ,10-4,229,293,522,analog,,KMM,,36,,,spore,vegetative,,,,,,,,,,,,,,
503,6/1/17,132 2598,,4/20/17,JC,4/17/17,,WE,3,8,,F,GOT ,10-5,nan,nan,0,analog,,,,36,,,spore,vegetative,,,,,,,,,,,,,,
505,5/31/17,132 2572,,4/20/17,JC,4/17/17,,WE,3,9,,F,GOT ,10-3,nc,nc,#VALUE!,analog,,AZD,,16,,,spore,vegetative,,,,,,,,,,,,,,
507,,,,4/20/17,,4/17/17,,WE,3,9,,F,GOT ,10-4,331,221,552,analog,,KMM,,16,,,spore,vegetative,,,,,,,,,,,,,,
509,6/1/17,132 2599,,4/20/17,JC,4/17/17,,WE,3,9,,F,GOT ,10-5,nan,nan,0,analog,,,,16,,,spore,vegetative,,,,,,,,,,,,,,
511,5/31/17,132 2573,,4/20/17,JC,4/17/17,,WE,3,10,,F,GOT ,10-3,nc,nc,#VALUE!,analog,DC,KMM AZD,,33,,,spore,vegetative,,,,,,,,,,,,,,
513,6/2/17,133 2629,,4/20/17,JC,4/17/17,,WE,3,10,,F,GOT ,10-4,nc,nc,#VALUE!,analog,DC,KMM,,33,,,spore,vegetative,,,contaminated,,,,,,,,,,,
515,6/1/17,132 2600,,4/20/17,JC,4/17/17,,WE,3,10,,F,GOT ,10-5,nan,nan,0,analog,DC,KMM,,33,,,spore,vegetative,,,,,,,,,,,,,,
517,5/31/17,132 2574,,4/20/17,JC,4/17/17,,WE,3,11,,F,GOT ,10-3,nc,nc,#VALUE!,analog,DC,KMM AZD,,46,,,spore,vegetative,,,,,,,,,,,,,,
519,6/2/17,133 2630,,4/20/17,JC,4/17/17,,WE,3,11,,F,GOT ,10-4,nc,nc,#VALUE!,analog,DC,KMM,,46,,,spore,vegetative,,,contaminated,,,,,,,,,,,
521,6/1/17,132 2601,,4/20/17,JC,4/17/17,,WE,3,11,,F,GOT ,10-5,nan,nan,0,analog,DC,KMM,,46,,,spore,vegetative,,,contaminated,,,,,,,,,,,
523,5/31/17,132 2575,,4/20/17,JC,4/17/17,,WE,3,12,,F,GOT ,10-3,nc,nc,#VALUE!,analog,DC,KMM AZD,,39,,,spore,vegetative,,,,,,,,,,,,,,
525,6/2/17,133 2631,,4/20/17,JC,4/17/17,,WE,3,12,,F,GOT ,10-4,nc,nc,#VALUE!,analog,DC,FW,,39,,,spore,vegetative,,,,,,,,,,,,,,
527,6/1/17,132 2602,,4/20/17,JC,4/17/17,,WE,3,12,,F,GOT ,10-5,nan,nan,0,analog,DC,KMM,,39,,,spore,vegetative,,,,,,,,,,,,,,
529,5/31/17,132 2576,,4/20/17,JC,4/17/17,,WE,3,13,,F,GOT ,10-3,nc,nc,#VALUE!,analog,,AZD,,6,,,spore,vegetative,,,,,,,,,,,,,,
531,6/2/17,133 2632,,4/20/17,JC,4/17/17,,WE,3,13,,F,GOT ,10-4,nc,nc,#VALUE!,analog,FP,FW,,6,,,spore,vegetative,,,,,,,,,,,,,,
533,6/1/17,132 2603,,4/20/17,JC,4/17/17,,WE,3,13,,F,GOT ,10-5,nan,nan,0,analog,,,,6,,,spore,vegetative,,,,,,,,,,,,,,
535,5/31/17,132 2577,,4/20/17,JC,4/17/17,,WE,3,14,,F,GOT ,10-3,612,341,953,analog,,AZD,,50,,,spore,vegetative,,,,,,,,,,,,,,
537,6/2/17,133 2633,,4/20/17,JC,4/17/17,,WE,3,14,,F,GOT ,10-4,305,197,502,analog,FP,FW,,50,,,spore,vegetative,,,contaminated,,,,,,,,,,,
539,6/1/17,132 2604,,4/20/17,JC,4/17/17,,WE,3,14,,F,GOT ,10-5,nan,nan,0,analog,,,,50,,,spore,vegetative,,,,,,,,,,,,,,
541,5/31/17,132 2578,,4/20/17,JC,4/17/17,,WE,3,15,,F,GOT ,10-3,nc,nc,#VALUE!,analog,,AZD,,35,,,spore,vegetative,,,,,,,,,,,,,,
543,6/2/17,133 2634,,4/20/17,JC,4/17/17,,WE,3,15,,F,GOT ,10-4,373,361,734,analog,FP,FW,,35,,,spore,vegetative,,,contaminated,,,,,,,,,,,
545,6/1/17,132 2605,,4/20/17,JC,4/17/17,,WE,3,15,,F,GOT ,10-5,nan,nan,0,analog,,,,35,,,spore,vegetative,,,,,,,,,,,,,,
547,,,,4/20/17,,4/17/17,,WE,3,16,,F,GOT ,10-3,369,146,515,analog,MA,KMM,,28,,,spore,vegetative,,,,,,,,,,,,,,
549,,,,4/20/17,,4/17/17,,WE,3,16,,F,GOT ,10-4,774,455,1229,analog,BC,HB,,28,,,spore,vegetative,,,,,,,,,,,,,,
551,,,,4/20/17,,4/17/17,,WE,3,16,,F,GOT ,10-5,122,55,177,analog,BC,HB,,28,,,spore,vegetative,,,,,,,,,,,,,,
553,,,,4/20/17,,4/17/17,,WE,3,17,,F,GOT ,10-3,309,317,626,analog,MA,KMM,,32,,,spore,vegetative,,,b/c smeared nc,,,,,,,,,,,
555,,,,4/20/17,,4/17/17,,WE,3,17,,F,GOT ,10-4,382,261,643,analog,BC,HB,,32,,,spore,vegetative,,,,,,,,,,,,,,
557,,,,4/20/17,,4/17/17,,WE,3,17,,F,GOT ,10-5,84,44,128,analog,MA,KMM,,32,,,spore,vegetative,,,,,,,,,,,,,,
559,,,,4/20/17,,4/17/17,,WE,3,18,,F,GOT ,10-3,NC,NC,#VALUE!,analog,HB,HB,,57,,,spore,vegetative,,,,,,,,,,,,,,
561,,,,4/20/17,,4/17/17,,WE,3,18,,F,GOT ,10-4,520,232,752,analog,BC,HB,,57,,,spore,vegetative,,,,,,,,,,,,,,
563,,,,4/20/17,,4/17/17,,WE,3,18,,F,GOT ,10-5,387,181,568,analog,BC,HB,,57,,,spore,vegetative,,,,,,,,,,,,,,
565,5/19/17,126 2023,,4/20/17,JC,4/17/17,,WE,3,19,,F,GOT ,10-3,1095,474,1569,analog,,SLD,,37,,,spore,vegetative,,,,,,,,,,,,,,
567,5/19/17,126 2026,,4/20/17,JC,4/17/17,,WE,3,19,,F,GOT ,10-4,1025,428,1453,analog,MA,KMM,,37,,,spore,vegetative,,,,,,,,,,,,,,
569,5/19/17,126 2029,,4/20/17,JC,4/17/17,,WE,3,19,,F,GOT ,10-5,413,203,616,analog,MA,KMM,,37,,,spore,vegetative,,,,,,,,,,,,,,
571,5/19/17,126 2024,,4/20/17,JC,4/17/17,,WE,3,20,,F,GOT ,10-3,NC,NC,#VALUE!,analog,,SLD,,13,,,spore,vegetative,,,,,,,,,,,,,,
573,5/19/17,126 2027,,4/20/17,JC,4/17/17,,WE,3,20,,F,GOT ,10-4,1080,483,1563,analog,MA,KMM,,13,,,spore,vegetative,,,,,,,,,,,,,,
575,5/19/17,126 2030,,4/20/17,JC,4/17/17,,WE,3,20,,F,GOT ,10-5,270,153,423,analog,MA,KMM,,13,,,spore,vegetative,,,,,,,,,,,,,,
577,5/19/17,126 2025,,4/20/17,JC,4/17/17,,WE,3,21,,F,GOT ,10-3,NC,NC,#VALUE!,analog,"""?""",KMM,,40,,,spore,vegetative,,,,,,,,,,,,,,
579,5/19/17,126 2028,,4/20/17,JC,4/17/17,,WE,3,21,,F,GOT ,10-4,NC,NC,#VALUE!,analog,"""?""",KMM,,40,,,spore,vegetative,,,,,,,,,,,,,,
581,5/19/17,126 2031,,4/20/17,JC,4/17/17,,WE,3,21,,F,GOT ,10-5,NC,NC,#VALUE!,analog,"""?""",KMM,,40,,,spore,vegetative,,,,,,,,,,,,,,
583,5/25/17,130 2378,,4/20/17,JC,4/17/17,,WE,3,22,,F,GOT ,10-3,0,0,0,analog,,KMM,,52,,,spore,vegetative,,,contaminated,,,,,,,,,,,
585,5/25/17,130 2379,,4/20/17,JC,4/17/17,,WE,3,22,,F,GOT ,10-4,NC,NC,#VALUE!,analog,,KMM,,52,,,spore,vegetative,,,contaminated,,,,,,,,,,,
587,5/25/17,130 2380,,4/20/17,JC,4/17/17,,WE,3,22,,F,GOT ,10-5,64,59,123,analog,BH,FW,,52,,,spore,vegetative,,,contaminated,,,,,,,,,,,
589,5/25/17,130 2381,,4/20/17,JC,4/17/17,,WE,3,23,,F,GOT ,10-3,NC,NC,#VALUE!,analog,,FW,,47,,,spore,vegetative,,,,,,,,,,,,,,
591,5/25/17,130 2382,,4/20/17,JC,4/17/17,,WE,3,23,,F,GOT ,10-4,387,252,639,analog,BH,FW,,47,,,spore,vegetative,,,streaks,,,,,,,,,,,
593,5/25/17,130 2383,,4/20/17,JC,4/17/17,,WE,3,23,,F,GOT ,10-5,78,68,146,analog,BH,FW,,47,,,spore,vegetative,,,,,,,,,,,,,,
595,5/25/17,130 2384,,4/20/17,JC,4/17/17,,WE,3,24,,F,GOT ,10-3,NC,NC,#VALUE!,analog,,FW,,40,,,spore,vegetative,,,,,,,,,,,,,,
597,5/25/17,130 2385,,4/20/17,JC,4/17/17,,WE,3,24,,F,GOT ,10-4,572,534,1106,analog,BH,FW,,40,,,spore,vegetative,,,,,,,,,,,,,,
599,5/25/17,130 2386,,4/20/17,JC,4/17/17,,WE,3,24,,F,GOT ,10-5,173,135,308,analog,BH,FW,,40,,,spore,vegetative,,,streaks,,,,,,,,,,,
601,6/2/17,133 2643,,4/20/17,JC,4/17/17,,WE,3,25,,F,GOT ,10-3,NC,NC,#VALUE!,analog,BL,KMM,,33,,,spore,vegetative,,,,,,,,,,,,,,
603,6/2/17,133 2642,,4/20/17,JC,4/17/17,,WE,3,25,,F,GOT ,10-4,NC,NC,#VALUE!,analog,BL,KMM,,33,,,spore,vegetative,,,,,,,,,,,,,,
605,6/2/17,133 2641,,4/20/17,JC,4/17/17,,WE,3,25,,F,GOT ,10-5,NC,NC,#VALUE!,analog,BL,KMM,,33,,,spore,vegetative,,,,,,,,,,,,,,
607,6/2/17,133 2640,,4/20/17,JC,4/17/17,,WE,3,26,,F,GOT ,10-3,NC,NC,#VALUE!,analog,BL,KMM,,35,,,spore,vegetative,,,,,,,,,,,,,,
609,6/2/17,133 2639,,4/20/17,JC,4/17/17,,WE,3,26,,F,GOT ,10-4,NC,NC,#VALUE!,analog,BL,HB KMM,,35,,,spore,vegetative,,,contaminated,,,,,,,,,,,
611,6/2/17,133 2638,,4/20/17,JC,4/17/17,,WE,3,26,,F,GOT ,10-5,115,98,213,analog,BL,KMM,,35,,,spore,vegetative,,,contaminated,,,,,,,,,,,
613,6/2/17,133 2673,,4/20/17,JC,4/17/17,,WE,3,27,,F,GOT ,10-3,NC,NC,#VALUE!,analog,MA,KMM,,54,,,spore,vegetative,,,,,,,,,,,,,,
615,6/2/17,133 2636,,4/20/17,JC,4/17/17,,WE,3,27,,F,GOT ,10-4,830,461,1291,analog,MA,KMM,,54,,,spore,vegetative,,,contaminated,,,,,,,,,,,
617,6/2/17,133 2635,,4/20/17,JC,4/17/17,,WE,3,27,,F,GOT ,10-5,98,59,157,analog,BC,KMM,,54,,,spore,vegetative,,,,,,,,,,,,,,
619,5/12/17,123 1723,,4/20/17,JC,4/17/17,,WE,3,28,,F,GOT ,10-3,1480,819,2299,analog,ST,KL KMM,,30,,,spore,vegetative,,,"discarded, broken plate",,,,,,,,,,,
621,5/12/17,,,4/20/17,JC,4/17/17,,WE,3,28,,F,GOT ,10-4,NC,NC,#VALUE!,analog,,KL,,30,,,spore,vegetative,,,,,,,,,,,,,,
623,5/12/17,123 1724,,4/20/17,JC,4/17/17,,WE,3,28,,F,GOT ,10-5,321,253,574,analog,ST,KL KMM,,30,,,spore,vegetative,,,,,,,,,,,,,,
625,5/12/17,123 1725,,4/20/17,JC,4/17/17,,WE,3,29,,F,GOT ,10-3,70,8,78,analog,ST,KL KMM,,24,,,spore,vegetative,,,contaminated,,,,,,,,,,,
627,5/12/17,123 1727,,4/20/17,JC,4/17/17,,WE,3,29,,F,GOT ,10-4,79,15,94,analog,ST,KL KMM,,24,,,spore,vegetative,,,contaminated,,,,,,,,,,,
629,5/12/17,123 1728,,4/20/17,JC,4/17/17,,WE,3,29,,F,GOT ,10-5,155,94,249,analog,ST,KL KMM,,24,,,spore,vegetative,,,,,,,,,,,,,,
631,5/12/17,123 1729,,4/20/17,JC,4/17/17,,WE,3,30,,F,GOT ,10-3,NC,NC,#VALUE!,analog,ST,KL KMM,,10,,,spore,vegetative,,,,,,,,,,,,,,
633,5/12/17,123 1730,,4/20/17,JC,4/17/17,,WE,3,30,,F,GOT ,10-4,1326,748,2074,analog,ST,KL KMM,,10,,,spore,vegetative,,,,,,,,,,,,,,
635,5/12/17,123 1731,,4/20/17,JC,4/17/17,,WE,3,30,,F,GOT ,10-5,330,187,517,analog,ST,KL KMM,,10,,,spore,vegetative,,,smeared colonies,,,,,,,,,,,
637,,115 1005,,,,4/17/17,,WE,3,1,,M,GOT ,10-3,118,39,157,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
639,6/1/17,132 2608,,4/20/17,JC,4/17/17,,WE,3,1,,M,GOT ,10-4,0,0,0,analog,,AZD,,,,,spore,vegetative,,,,,,,,,,,,,,
641,6/1/17,132 2609,,4/20/17,JC,4/17/17,,WE,3,1,,M,GOT ,10-5,3,1,4,analog,,AZD,,,,,spore,vegetative,,,,,,,,,,,,,,
643,,115 1006,,,,4/17/17,,WE,3,2,,M,GOT ,10-3,83,55,138,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
645,6/1/17,132 2610,,4/20/17,CL,4/17/17,,WE,3,2,,M,GOT ,10-4,6,2,8,analog,,AZD,,,,,spore,vegetative,,,,,,,,,,,,,,
647,6/1/17,132 2611,,4/20/17,CL,4/17/17,,WE,3,2,,M,GOT ,10-5,4,0,4,analog,,AZD,,,,,spore,vegetative,,,,,,,,,,,,,,
649,,115 1008,,,,4/17/17,,WE,3,3,,M,GOT ,10-3,107,67,174,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
651,6/1/17,132 2612,,4/20/17,CL,4/17/17,,WE,3,3,,M,GOT ,10-4,0,0,0,analog,,AZD,,,,,spore,vegetative,,,,,,,,,,,,,,
653,6/1/17,132 2613,,4/20/17,CL,4/17/17,,WE,3,3,,M,GOT ,10-5,0,0,0,analog,,AZD,,,,,spore,vegetative,,,,,,,,,,,,,,
655,,,,,,4/17/17,,WE,3,4,,M,GOT ,10-3,47,42,89,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
657,,,,,,4/17/17,,WE,3,4,,M,GOT ,10-4,0,0,0,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
659,,,,,,4/17/17,,WE,3,4,,M,GOT ,10-5,0,0,0,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
661,,,,,,4/17/17,,WE,3,5,,M,GOT ,10-3,152,78,230,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
663,,,,,,4/17/17,,WE,3,5,,M,GOT ,10-4,0,0,0,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
665,,,,,,4/17/17,,WE,3,5,,M,GOT ,10-5,4,1,5,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
667,,,,,,4/17/17,,WE,3,6,,M,GOT ,10-3,462,322,784,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
669,,,,,,4/17/17,,WE,3,6,,M,GOT ,10-4,0,3,3,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
671,,,,,,4/17/17,,WE,3,6,,M,GOT ,10-5,17,14,31,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
673,7/7/17,139 2915,,4/20/17,CL,4/17/17,,WE,3,7,,M,GOT ,10-3,387,217,604,analog,FW,,,,,,spore,vegetative,,,,,,,,,,,,,,
675,7/7/17,139 2916,,4/20/17,CL,4/17/17,,WE,3,7,,M,GOT ,10-4,1,0,1,analog,FW,,,,,,spore,vegetative,,,,,,,,,,,,,,
677,7/7/17,139 2917,,4/20/17,CL,4/17/17,,WE,3,7,,M,GOT ,10-5,11,5,16,analog,FW,,,,,,spore,vegetative,,,,,,,,,,,,,,
679,7/7/17,139 2918,,4/20/17,CL,4/17/17,,WE,3,8,,M,GOT ,10-3,106,39,145,analog,FW,,,,,,spore,vegetative,,,,,,,,,,,,,,
681,7/7/17,139 2919,,4/20/17,CL,4/17/17,,WE,3,8,,M,GOT ,10-4,0,0,0,analog,FW,,,,,,spore,vegetative,,,contaminated,,,,,,,,,,,
683,7/7/17,139 2920,,4/20/17,CL,4/17/17,,WE,3,8,,M,GOT ,10-5,1,1,2,analog,FW,,,,,,spore,vegetative,,,,,,,,,,,,,,
685,7/7/17,139 2921,,4/20/17,CL,4/17/17,,WE,3,9,,M,GOT ,10-3,395,211,606,analog,FW,,,,,,spore,vegetative,,,,,,,,,,,,,,
687,7/7/17,139 2922,,4/20/17,CL,4/17/17,,WE,3,9,,M,GOT ,10-4,1,0,1,analog,FW,,,,,,spore,vegetative,,,,,,,,,,,,,,
689,7/12/17,139 2923,,4/20/17,CL,4/17/17,,WE,3,9,,M,GOT ,10-5,5,3,8,analog,FW,,,,,,spore,vegetative,,,,,,,,,,,,,,
691,,,,,,4/17/17,,WE,3,10,,M,GOT ,10-3,0,0,0,analog,BL,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
693,,,,,,4/17/17,,WE,3,10,,M,GOT ,10-4,0,0,0,analog,BL,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
695,,,,,,4/17/17,,WE,3,10,,M,GOT ,10-5,0,0,0,analog,BL,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
697,,,,,,4/17/17,,WE,3,11,,M,GOT ,10-3,nan,nan,0,analog,BL,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
699,,,,,,4/17/17,,WE,3,11,,M,GOT ,10-4,1,0,1,analog,BL,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
701,,,,,,4/17/17,,WE,3,11,,M,GOT ,10-5,14,1,15,analog,BL,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
703,,,,,,4/17/17,,WE,3,12,,M,GOT ,10-3,nan,nan,0,analog,BL,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
705,,,,,,4/17/17,,WE,3,12,,M,GOT ,10-4,3,2,5,analog,BL,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
707,,,,,,4/17/17,,WE,3,12,,M,GOT ,10-5,2,2,4,analog,BL,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
709,4/24,115 1009,,4/20/17,,4/17/17,,WE,3,13,,M,GOT ,10-3,112,89,201,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
711,4/24,115 1016,,4/20/17,,4/17/17,,WE,3,13,,M,GOT ,10-4,2,0,2,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
713,4/24,115 1024,,4/20/17,,4/17/17,,WE,3,13,,M,GOT ,10-5,4,3,7,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
715,4/24,115 1010,,4/20/17,,4/17/17,,WE,3,14,,M,GOT ,10-3,142,113,255,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
717,4/24,115 1017,,4/20/17,,4/17/17,,WE,3,14,,M,GOT ,10-4,1,1,2,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
719,4/24,115 1026,,4/20/17,,4/17/17,,WE,3,14,,M,GOT ,10-5,4,2,6,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
721,4/24,115 1012,,4/20/17,,4/17/17,,WE,3,15,,M,GOT ,10-3,139,55,194,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
723,4/24,115 1018,,4/20/17,,4/17/17,,WE,3,15,,M,GOT ,10-4,0,0,0,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
725,4/24,115 1027,,4/20/17,,4/17/17,,WE,3,15,,M,GOT ,10-5,0,0,0,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
727,4/24,115 1013,,4/20/17,,4/17/17,,WE,3,16,,M,GOT ,10-3,186,231,417,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
729,4/24,115 1019,,4/20/17,,4/17/17,,WE,3,16,,M,GOT ,10-4,9,4,13,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
731,4/24,115 1028,,4/20/17,,4/17/17,,WE,3,16,,M,GOT ,10-5,2,1,3,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
733,4/24,115 1014,,4/20/17,,4/17/17,,WE,3,17,,M,GOT ,10-3,792,530,1322,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
735,4/24,115 1020,,4/20/17,,4/17/17,,WE,3,17,,M,GOT ,10-4,82,43,125,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
737,4/24,115 1034,,4/20/17,,4/17/17,,WE,3,17,,M,GOT ,10-5,4,2,6,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
739,4/24,115 1015,,4/20/17,,4/17/17,,WE,3,18,,M,GOT ,10-3,NC,NC,#VALUE!,analog,,,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
741,4/24,115 1023,,4/20/17,,4/17/17,,WE,3,18,,M,GOT ,10-4,3,19,22,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
743,4/24,115 1035,,4/20/17,,4/17/17,,WE,3,18,,M,GOT ,10-5,0,0,0,analog,,,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
745,4/24,115 1093,,4/20/17,,4/17/17,,WE,3,19,,M,GOT ,10-3,62,7,69,analog,EF,EF,,,,,spore,vegetative,,,,,,,,,,,,,,
747,4/24,115 1078,,4/20/17,,4/17/17,,WE,3,19,,M,GOT ,10-4,NC,NC,#VALUE!,analog,,,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
749,4/24,115 1037,,4/20/17,,4/17/17,,WE,3,19,,M,GOT ,10-5,1,0,1,analog,,,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
751,4/24,115 1094,,4/20/17,,4/17/17,,WE,3,20,,M,GOT ,10-3,120,56,176,analog,EF,KMM,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
753,4/24,115 1079,,4/20/17,,4/17/17,,WE,3,20,,M,GOT ,10-4,4,18,22,analog,,,,,,,spore,vegetative,,,,,,,,,,,,,,
755,4/24,115 1038,,4/20/17,,4/17/17,,WE,3,20,,M,GOT ,10-5,0,1,1,analog,,,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
757,4/24,115 1095,,4/20/17,,4/17/17,,WE,3,21,,M,GOT ,10-3,57,26,83,analog,DC,CK,,,,,spore,vegetative,,,,,,,,,,,,,,
759,4/24,115 1080,,4/20/17,,4/17/17,,WE,3,21,,M,GOT ,10-4,3,2,5,analog,EF,HB,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
761,4/24,115 1051,,4/20/17,,4/17/17,,WE,3,21,,M,GOT ,10-5,NC,NC,#VALUE!,analog,,KMM,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
763,4/24,115 1096,,4/20/17,,4/17/17,,WE,3,22,,M,GOT ,10-3,0,0,0,,,KMM,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
765,4/24,115 1081,,4/20/17,,4/17/17,,WE,3,22,,M,GOT ,10-4,0,0,0,analog,EF,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
767,4/24,115 1054,,4/20/17,,4/17/17,,WE,3,22,,M,GOT ,10-5,0,0,0,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
769,4/24,115 1097,,4/20/17,,4/17/17,,WE,3,23,,M,GOT ,10-3,45,82,127,,DC,CK,,,,,spore,vegetative,,,,,,,,,,,,,,
771,4/24,115 1082,,4/20/17,,4/17/17,,WE,3,23,,M,GOT ,10-4,6,6,12,analog,EF,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
